Category: All categories

Week,Musical instrument: (Canada)
2018-01-07,82
2018-01-14,79
2018-01-21,87
2018-01-28,78
2018-02-04,80
2018-02-11,72
2018-02-18,72
2018-02-25,76
2018-03-04,68
2018-03-11,76
2018-03-18,84
2018-03-25,74
2018-04-01,78
2018-04-08,81
2018-04-15,69
2018-04-22,64
2018-04-29,72
2018-05-06,70
2018-05-13,64
2018-05-20,76
2018-05-27,84
2018-06-03,78
2018-06-10,67
2018-06-17,80
2018-06-24,51
2018-07-01,57
2018-07-08,71
2018-07-15,63
2018-07-22,55
2018-07-29,45
2018-08-05,67
2018-08-12,62
2018-08-19,55
2018-08-26,71
2018-09-02,72
2018-09-09,70
2018-09-16,75
2018-09-23,73
2018-09-30,76
2018-10-07,75
2018-10-14,76
2018-10-21,65
2018-10-28,87
2018-11-04,73
2018-11-11,70
2018-11-18,78
2018-11-25,78
2018-12-02,88
2018-12-09,98
2018-12-16,86
2018-12-23,63
2018-12-30,55
2019-01-06,75
2019-01-13,76
2019-01-20,79
2019-01-27,87
2019-02-03,80
2019-02-10,76
2019-02-17,81
2019-02-24,78
2019-03-03,71
2019-03-10,74
2019-03-17,72
2019-03-24,78
2019-03-31,80
2019-04-07,74
2019-04-14,73
2019-04-21,67
2019-04-28,66
2019-05-05,66
2019-05-12,81
2019-05-19,83
2019-05-26,83
2019-06-02,82
2019-06-09,75
2019-06-16,73
2019-06-23,55
2019-06-30,68
2019-07-07,66
2019-07-14,44
2019-07-21,66
2019-07-28,56
2019-08-04,54
2019-08-11,61
2019-08-18,60
2019-08-25,63
2019-09-01,82
2019-09-08,67
2019-09-15,65
2019-09-22,83
2019-09-29,66
2019-10-06,77
2019-10-13,75
2019-10-20,71
2019-10-27,66
2019-11-03,75
2019-11-10,81
2019-11-17,83
2019-11-24,82
2019-12-01,84
2019-12-08,76
2019-12-15,74
2019-12-22,63
2019-12-29,67
2020-01-05,70
2020-01-12,83
2020-01-19,82
2020-01-26,91
2020-02-02,78
2020-02-09,83
2020-02-16,71
2020-02-23,88
2020-03-01,73
2020-03-08,75
2020-03-15,65
2020-03-22,74
2020-03-29,77
2020-04-05,93
2020-04-12,100
2020-04-19,92
2020-04-26,77
2020-05-03,95
2020-05-10,78
2020-05-17,84
2020-05-24,70
2020-05-31,75
2020-06-07,78
2020-06-14,79
2020-06-21,61
2020-06-28,62
2020-07-05,60
2020-07-12,54
2020-07-19,53
2020-07-26,55
2020-08-02,62
2020-08-09,64
2020-08-16,52
2020-08-23,61
2020-08-30,66
2020-09-06,72
2020-09-13,81
2020-09-20,80
2020-09-27,77
2020-10-04,81
2020-10-11,79
2020-10-18,80
2020-10-25,77
2020-11-01,78
2020-11-08,77
2020-11-15,74
2020-11-22,90
2020-11-29,87
2020-12-06,95
2020-12-13,80
2020-12-20,65
2020-12-27,58
