,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
ARE,1.0,0.13943519237288854,0.11545516153173342,0.3662337030372402,0.3854109383826256,0.36240643445811715,0.307112203814523,0.45665360822718687,0.29101160900728246,-0.010651230111898962,0.11713327881218213,0.26002465614036374,0.383612597526435,0.34484525708009656,0.19134803450776786,-0.19642945299067166,0.4898974598245064,0.16793618820665157,0.5513031687685647,0.7511634025258007,0.33206754055663473,0.32200308844978226,0.14951936412474337,0.5857117235325672,0.1265630057569657,0.026495549135999035,0.4537653888275106,-0.11142569692858693,0.1703682680348251,0.41315161447855925,0.19728704127297014,0.19749148485532653,0.5455033811277219,0.3104684995823335,0.03451646324953998,0.4919183904312983,0.23948701787998913,0.15019641917247822,0.34624232437751495,0.37362925891971144,0.5655011116313596,0.38137053417826694,0.5335801198757261,0.1689755569229533,0.327988186111291,-0.055250474964760446,0.2898017688753243,0.3910683377997728,0.3471054834868423,0.033560918466783836
ARG,0.13943519237288854,1.0,0.5620322837949162,0.07456787056530538,0.121231979727688,0.07359139720817438,0.7151451547095052,0.1186623059114331,0.019715974620367088,0.6817991648042699,0.10382798899743863,0.4780353894351245,0.0028416089460467854,0.04313581912219787,-0.030140125633113916,0.11123687859330794,0.21644856316971134,0.06386013231591989,0.12728292956766282,0.09796887919443545,0.3374832288547003,0.06510470850901826,0.09928481016950683,0.1661715442843259,-0.1025662134393521,-0.005730317620228321,0.19700125116396158,0.16379209576460024,0.334282093510966,0.3284451853750115,0.024283403654414133,-0.22126072316700807,0.10638111096386857,-0.09337081939245946,0.3127282512758807,-0.000764848734051721,0.4398522629138103,-0.07391633335288351,0.07907656603004214,0.27069717655910597,0.1842557261726308,0.18346502884124424,-0.006259189678736778,0.08059435087231001,0.032262974224131165,-0.04798372881457514,0.013652695541572769,0.1748807924717709,0.14503215302297093,0.26671724206403463
AUS,0.11545516153173342,0.5620322837949162,1.0,0.02232308698159012,0.03391855308622293,0.1899370173309609,0.5642988791070535,0.05874171692327631,0.09368629983301925,0.3321636586937414,0.05480768700731049,0.6443153077440535,-0.10564773687286536,0.05362576355669458,0.06633511509922153,0.22475004791950123,0.14878819459771853,0.10646727641160735,-0.06956149071572638,0.16477753629683667,0.11579754609001155,0.11890840505099051,0.38965421502041114,0.008565691182623625,-0.12852368357354615,0.10849607144974717,0.10190810892287669,0.12665963961305476,0.11864855721297274,0.2816552643881452,0.08881087431812694,-0.2372273249501242,0.037417990352530274,-0.05606381291664742,0.6219080065224775,-0.06019210304498797,0.26607696554476196,-0.06638304459234469,0.06551960770849659,0.14533346383329288,0.0446701587110537,-0.026680746497259843,-0.04985106905141214,0.17576318880206826,0.07077452404329547,-0.15404982762110586,-0.3412129081338513,0.19188218632131732,0.06453986894658258,0.5066504229885648
AUT,0.3662337030372402,0.07456787056530538,0.02232308698159012,1.0,0.569889905312798,-0.0016064341523642832,0.04902415493973254,0.41170242960689624,0.594803944853107,-0.10439263306601143,-0.15425426155277114,0.20285213061392893,0.4430609415433659,0.6991726541867544,0.33831165134392477,-0.12638072235261966,0.4141245791158982,0.2136684652253584,0.463496054840661,0.3882355397650311,0.11779312826240292,-0.0038591939741275975,-0.15104899195285362,0.3985801655665637,0.2780173757597492,0.005007436763307064,0.6426248461550782,-0.487397889216369,-0.29950864164337404,0.13283124435366297,0.2007976466851205,0.149862949008725,0.5804804467164358,0.2946112530636363,0.07107237589686428,0.3109190913475504,-0.00825849493710059,-0.01867067425314066,0.694868575505171,0.17687148409167874,0.19515738497674978,0.09709027065247443,0.29721837139268104,-0.001989318516491418,0.23767940597947035,-0.08703692555786263,0.3146612068821269,0.33982195580169555,0.0711697171180731,0.04673021800934076
BEL,0.3854109383826256,0.121231979727688,0.03391855308622293,0.569889905312798,1.0,0.04629306246500686,0.2209540357318309,0.5884365642404636,0.5668530565871206,-0.03669292928046582,0.09305002594483641,0.3331306960635351,0.5239141582777564,0.6340781514042433,0.40002010797331994,-0.3617178401635342,0.5492441095869234,0.24981239725866844,0.6968043502053294,0.4831949927614411,0.2970919410327375,0.11205150364443213,-0.18175160783174568,0.528004752172102,0.23451504090022202,0.05455479837819866,0.5921603920292331,-0.2762415891884623,-0.14449340053472917,0.32519253163180006,0.3004675779757495,0.22365682193967173,0.6480713326437914,0.4192261505656304,0.1759075081277324,0.38775939467156256,0.05678958288328723,-0.04201881819122984,0.5086161224191373,0.23613628128255862,0.3118016428326987,0.324281978395181,0.41759896995537105,0.10555143830473722,0.45713395724364303,0.04426229403765497,0.42858249988390806,0.5403452439473385,0.05244988697387875,0.06916512546611445
BGD,0.36240643445811715,0.07359139720817438,0.1899370173309609,-0.0016064341523642832,0.04629306246500686,1.0,0.17272062253225012,0.03984412724958505,-0.1937500659615751,-0.014663080591678115,0.1914911936593567,0.11359326444122747,-0.08303506348965499,-0.1476486437592048,-0.010115346145895354,-0.06785514436946942,0.042004389511994776,0.08961854419798716,0.04394955384561448,0.39187223137481014,0.15258401709539665,0.25611362763339246,0.36499649302525083,0.2316154820374654,0.01567839594430757,-0.02349560623564491,-0.07814817950072414,0.08724331775260083,0.24592475685724485,0.20838572978954806,-0.093537837182602,-0.14452901801821297,0.05311487960325795,0.2285419211037662,-0.022455368556948498,0.24760580342483945,0.25172486665193733,0.07142773588210784,-0.06084797557844643,0.06532222571740086,0.23129041868174322,0.30903958259165054,0.27422068640687747,0.046901732838614235,0.12362080976508115,-0.04448631351672498,0.03952457405282998,0.05863129223797485,0.45092784248831336,-0.06100066745843504
BRA,0.307112203814523,0.7151451547095052,0.5642988791070535,0.04902415493973254,0.2209540357318309,0.17272062253225012,1.0,0.22169434179904268,0.06616434992064926,0.5680058701460068,0.17703486384536107,0.5426292859788372,0.11009258966851103,0.08346275171618663,0.09940917367581899,-0.0019324408754995458,0.21923368050558856,0.1344862828482469,0.18848699470989946,0.24529532457063472,0.35956284440255176,0.26067170922302974,0.1889333563254417,0.23052453710176485,-0.13295178446625947,-0.010808834318582521,0.13444231779632515,0.2418095860374285,0.3402753875416764,0.4468734236501655,0.08727524985227568,-0.16244891133252826,0.15704068508726923,0.010890071355060866,0.430731947285627,0.05627124340601903,0.5924960349292074,0.058893129837378426,0.03577307313559473,0.12738795312460127,0.31025854433294525,0.20644918062335849,0.15444991841645353,0.15198456347342235,0.16240270027896678,-0.05158635555435662,0.014383784956068143,0.23499047224336156,0.21184558308929743,0.299216184289945
CAN,0.45665360822718687,0.1186623059114331,0.05874171692327631,0.41170242960689624,0.5884365642404636,0.03984412724958505,0.22169434179904268,1.0,0.5245133029314886,-0.02158916133491245,0.1332095621520518,0.20824255411981069,0.516020204921439,0.4462149748684469,0.3522407903791376,-0.28893529814814256,0.708953869752564,0.20269871813938362,0.7994968582700673,0.5827471755236341,0.4533486244507806,0.07275935393053547,-0.22923590293741394,0.5888430862781522,0.3940185686769832,0.226215796638678,0.5363869903979994,-0.007079761922797109,0.09211097453960139,0.3449779053387775,0.37229451774984107,0.40174494060096927,0.5349622195876822,0.30875268806672274,0.10450888487928138,0.3936493456067366,-0.0803547123842118,-0.005137800732165372,0.24132792625160715,0.47756761981625473,0.47143984710107795,0.5221104989539442,0.4378772210969737,0.3731725901553523,0.5446157798410176,0.210044679764273,0.4718435070886576,0.7915374076049172,-0.10535025009261084,0.21748192212927586
CHE,0.29101160900728246,0.019715974620367088,0.09368629983301925,0.594803944853107,0.5668530565871206,-0.1937500659615751,0.06616434992064926,0.5245133029314886,1.0,-0.19221520898159122,-0.18188418045935606,0.3131276360848153,0.4645655028153446,0.7255204827100452,0.47936701665585013,-0.19776042263286894,0.5190278726861112,0.27341060904090897,0.545522002410005,0.35064362331197135,0.08502402366305502,-0.021124874687339926,-0.24306033578953448,0.3288361329291058,0.25387162728704243,0.14384818884945585,0.6606534166008473,-0.45900306820504205,-0.29055982294782,0.172599345912488,0.24923395557790579,0.23321638054519642,0.614439146255885,0.34466120608299483,0.18476597848874537,0.2629446304915005,-0.19061027287909735,-0.17053415955685788,0.610372717301585,0.314095780399452,0.181752768584948,0.08844004057647668,0.18862522502033321,0.052067754637384195,0.281857897345397,-0.07053058395782098,0.25003486095359523,0.5191341929810075,-0.14826098380743633,0.21070310510940207
CHL,-0.010651230111898962,0.6817991648042699,0.3321636586937414,-0.10439263306601143,-0.03669292928046582,-0.014663080591678115,0.5680058701460068,-0.02158916133491245,-0.19221520898159122,1.0,0.11395391684579055,0.15660475548932676,-0.029633915420783263,-0.19960889749562222,-0.11758742521282341,0.14558479496344975,-0.034899352239213956,-0.006310504491963256,-0.0054336037688659826,-0.07093417277986111,0.32089520120751497,0.028916186229088005,0.08233553216456539,0.023160655710719062,-0.11942712162712367,-0.010290235042476009,-0.09366417584022582,0.3328590917225743,0.40821650967112544,0.19900005760961273,0.04012682719438112,-0.24545881231533664,-0.09872116379327191,-0.170942287513176,0.12807475227142856,-0.10854798569093435,0.42139747250316056,-0.04084573935422441,-0.23322921739598426,0.055037409445982455,0.04023397992170879,0.12718542836174412,-0.1338836148072712,0.09801996870850298,-0.10025957166121546,-0.020592465248130364,-0.09487175818760243,0.0006159259728047414,-0.0077826778575501195,0.19128211661021569
