,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
ARE,1.0,0.2524637119720866,0.4217956294497045,0.32045775988696623,0.5007517904377212,0.2317890756855816,0.15054177384680117,0.7595174237793862,0.3523325158554193,0.07192159120787375,0.09200201370915437,0.15718076942104495,0.3663406621746126,0.2506963445264948,0.3944240957310438,0.28533214648379673,0.572583642122946,0.4473364912577038,0.387892921946106,0.7160137773463244,0.4677144085947736,0.2512874618267904,0.17443721506061186,0.6546008200977347,-0.04035252560658911,0.04103664229986767,0.2618488924146096,0.13129238390280895,0.018997256875368303,0.32833447328815396,0.3638950557053853,0.055325990640700616,0.6033017248739532,0.4072135456426489,0.27657521366007354,0.23021672516999808,0.021307805558785954,0.06194136512771791,0.38123129083702384,0.2715130925186375,0.36757096020258845,0.1693734419690223,0.5229105684031468,0.3669777428257979,0.3835084091393694,0.02727329137192886,0.44243545337299484,0.6103661004921603,-0.038309837433256,0.24344154860929018
ARG,0.2524637119720866,1.0,0.3870838500061884,0.13356853665331433,0.29609669386219795,0.37603723955046625,0.4254213668785713,0.2865321119586865,0.0017576766776159626,0.292387535726009,-0.10771105331802538,0.3286787711730664,0.11725088531657983,0.24797342598210986,0.1232613019468735,0.33785110591316697,0.2388365851170596,0.229919730972913,0.226885933537988,0.2951935412680245,0.08298069972955019,0.3356085653005063,0.4095131633506516,0.2493919953470224,-0.2703765480121327,0.05958362822540808,0.22149729071778423,-0.03850605171751099,0.39414800862449634,0.35253346937137575,0.3048326096795176,0.11012453082872259,0.2735952579829857,0.05217494985012882,0.3511905746333637,0.2323891104452459,0.25153609388180476,0.16907399212139684,0.09411166642880274,0.2087308752516408,0.2995182736453679,0.35727033368570993,0.22599516316990811,0.491285780945638,-0.0657274163384347,0.322934859439061,0.32183239022158056,0.41179608219763514,0.5525737498712218,0.29255709495674825
AUS,0.4217956294497045,0.3870838500061884,1.0,0.26560360501051433,0.2664871512755208,0.30341227334351606,0.46329526442583224,0.459778907337858,0.30016358675010174,0.2761976383259009,-0.03796623602434714,0.4151325154141215,0.19434892784709296,0.3394025808900482,0.28736027931975433,0.14642474693631907,0.4294785841416334,0.286794008860878,0.2366210815877114,0.46860167316507106,0.24111289981742953,0.12935925311751556,0.44690392414917235,0.3974992053688161,0.008182378984917133,0.028082449696247225,0.2390174496851292,0.006292423728715381,0.09635648057839645,0.4888611296114443,0.30037209153870525,0.4978163272657041,0.27076393983417935,0.3029757389768048,0.7910594328518705,0.16548684033759847,0.25263639931708964,-0.06677076772255759,0.32880201525071334,0.22733389616230287,0.2701585187924746,0.07221608304790854,0.31915104518283927,0.6454664658236527,0.1740583476813574,0.20702402608920784,0.19047723123604313,0.5806573835540173,0.10799425983034566,0.6092440422517722
AUT,0.32045775988696623,0.13356853665331433,0.26560360501051433,1.0,0.3431542319383846,0.029936559767359865,0.23399209001069066,0.32535406148832435,0.3603726424869896,-0.05797136670898998,0.139467328801398,0.19494744316322393,0.23126717069876135,0.4010470700231548,0.37997399791328823,0.07529528337991556,0.4981160439928279,0.20522091754552432,0.5268512124556562,0.4001410945564017,0.20965136654567432,6.0138054846519774e-05,-0.1279147500334049,0.3497992505128082,0.0654083543494523,0.03989589903539032,0.5445461893115537,-0.18940381270150058,-0.16069942703758489,0.2670827301379431,0.13495051961533927,-0.03059863586491611,0.3726899482159952,0.2140348976713298,0.17484051569014372,0.07243429466813905,-0.09091209974040597,-0.09807376101362676,0.4513488347457317,0.326537559413647,0.3039768568719825,0.29612115183016574,0.28643954922275694,0.07966981270080205,0.10665820619781104,0.389513424293656,0.3502695008210532,0.2983546291399292,0.10005074261139214,0.14190786640433314
BEL,0.5007517904377212,0.29609669386219795,0.2664871512755208,0.3431542319383846,1.0,0.3234273916165972,0.16376314094447045,0.5290968858013299,0.13167628939117948,0.0743121004999075,0.08943476543588645,0.27377897932988327,0.39180325166288704,0.2737112389551502,0.249417118522434,0.3296269190618381,0.44371785687805776,0.3704434597998878,0.4685254239063493,0.5015546479154835,0.31660477782636925,0.276065019541551,0.24002393125558746,0.4905078450368832,-0.23237583307882492,-0.009476507466602824,0.3378724942137548,-0.11913026532975314,0.27677609058134667,0.3527741939937292,0.23217475962920275,-0.027643026432738048,0.37239606289886573,0.2608638437675553,0.16626386181777217,0.28794960177673795,-0.018605133973505224,0.15513947825423752,0.27571523150238675,0.28286239634532095,0.30753854921170154,0.2755395491691135,0.35137290070933697,0.37301152132650256,0.042201289734851447,0.27143657843284297,0.43344690517014756,0.46491542138825825,0.29799845909106015,0.09691680867171544
BGD,0.2317890756855816,0.37603723955046625,0.30341227334351606,0.029936559767359865,0.3234273916165972,1.0,0.11871088177972221,0.3455997412124901,-0.09052862969715333,0.05092997003565709,-0.11363819237416901,0.2221114167506424,0.05072639536319657,0.09922725169847929,-0.06509740966076938,0.3857506787915479,0.1692966184901794,0.27279336482857564,0.1355593377067584,0.4279246614061007,0.16891903450312357,0.5019150157166765,0.6169141750458219,0.29727881025659797,-0.42961942206670245,-0.04982605339433903,0.09717003817573192,-0.07094538412332943,0.4185930366116879,0.27575875568959923,0.47772088923763,0.1768771723476942,0.21471831427442034,0.04883732524183231,0.20732706129378342,0.6415444904300188,0.12840482826889899,0.41455918423215765,-0.028004734574654935,0.1271624843580258,0.11537863683339647,0.15899508593361336,0.15546683005764583,0.4944805898700963,-0.08010967623686002,0.1469194650468363,0.32413788195869536,0.3284300812717887,0.41096008284070684,0.3207855090448334
BRA,0.15054177384680117,0.4254213668785713,0.46329526442583224,0.23399209001069066,0.16376314094447045,0.11871088177972221,1.0,0.1723204357749724,0.24623899465031823,0.31492569287449174,-0.03845894334415443,0.47710312434794827,0.03370965978094989,0.4276977091890764,0.16338552368422452,0.11046102840780607,0.23338886075179768,0.12990819169817586,0.23865496138492806,0.17419309948794506,0.0465347053049409,0.09914335957896044,0.09625756514298199,0.1950817455573599,-0.040863531415798585,-0.10206731251866881,0.2926818630232429,-0.17088915506913493,0.03004117530967211,0.5091364945053842,0.1305067956131686,0.21483381169157234,0.1512545682868323,0.1152641107418448,0.47098880091134265,0.06895359524049602,0.31335724653863856,-0.030147201816021162,0.18560420761630714,0.19976335438450338,0.2372910694530893,0.357368326137321,0.27522231645152717,0.2791084889947639,0.07030210669934177,0.4041943944649306,0.24279745095966393,0.32355425285725353,0.27451227751087387,0.33776064928377564
CAN,0.7595174237793862,0.2865321119586865,0.459778907337858,0.32535406148832435,0.5290968858013299,0.3455997412124901,0.1723204357749724,1.0,0.29620550634199955,0.015579512318855312,-0.07998929820611228,0.2776247890460768,0.3981494232729447,0.30781821385291425,0.3884989340989979,0.3614241164062695,0.5949625829325195,0.593469270441966,0.46906502249522886,0.7992519700230126,0.5257109336154611,0.42467251063810757,0.29857535613139274,0.7244386038243963,-0.11065685991075895,0.0013682604062190981,0.2972502575514541,0.04326450914278716,0.2217644092016304,0.40263509798434477,0.4730325090417282,0.10467750956688768,0.6397717560572262,0.4518215237872429,0.3334237819575636,0.3277289172981688,0.12842851374073055,0.18633371338009455,0.42950324249435523,0.37936987861374855,0.3940344840432357,0.23058123876063472,0.6425584758035793,0.4798514051931721,0.3533941476617962,0.09213864191950806,0.5040091380175012,0.7619205741998109,0.11461379838692358,0.27467537141225273
CHE,0.3523325158554193,0.0017576766776159626,0.30016358675010174,0.3603726424869896,0.13167628939117948,-0.09052862969715333,0.24623899465031823,0.29620550634199955,1.0,0.11568603616313784,0.022177770474443012,0.3279202709043242,0.22928015646685765,0.40554117527845934,0.3583864136853814,-0.018101618867742753,0.44744252120923184,0.2209562280540162,0.4210007016083593,0.2965701698805153,0.18498298360080634,-0.02111325507398291,-0.13411080024968283,0.38697837963130705,0.21226589208371927,0.08953908408259947,0.39212909356583864,0.016207727692731103,-0.23920419454871272,0.3859775365570834,0.04202504634306315,0.1305508628308151,0.3282829775797966,0.3518078447535084,0.24163915339430422,-0.07341414640311132,0.05920498459226653,-0.12791716472872006,0.41223414270792025,0.28989622083044486,0.18591625877726814,0.23663823482088195,0.3782461930845291,0.060518740280926964,0.29540044301756746,0.3144105499927363,0.22060097976114199,0.2756540212656746,-0.05474060130155046,0.22955408815373113
CHL,0.07192159120787375,0.292387535726009,0.2761976383259009,-0.05797136670898998,0.0743121004999075,0.05092997003565709,0.31492569287449174,0.015579512318855312,0.11568603616313784,1.0,0.018451321772883014,0.16874782709977817,-0.006035840533033704,0.11664969284057033,0.05323187830964167,0.11733149339246428,0.06810916627846181,-0.027667698192638132,0.10654001417015563,0.06879736540270164,0.026190240224006865,-0.05155491935324158,0.1704285423571334,0.11151538328171413,-0.03525055952112358,-0.022718032576203275,0.020076703962217095,0.06770550550529221,0.13591248148599483,0.2467827388596285,0.05993073367658258,0.21881191600465347,-0.02946203895671017,-0.017622282700556418,0.2480960798845423,-0.005035786156945224,0.1218455065680821,-0.12989490291605624,0.0403625627213873,0.10505005772837674,0.14031630537956086,0.24833629571409593,-0.06761861832807305,0.18070812011906806,-0.026162471622703992,0.2023976157932015,0.03144698215153754,0.12720592365652192,0.28574019447865034,0.17799229743911418
