Category: All categories

Week,Pet: (Germany)
2018-01-07,47
2018-01-14,39
2018-01-21,47
2018-01-28,52
2018-02-04,36
2018-02-11,45
2018-02-18,48
2018-02-25,50
2018-03-04,48
2018-03-11,51
2018-03-18,38
2018-03-25,43
2018-04-01,44
2018-04-08,49
2018-04-15,52
2018-04-22,45
2018-04-29,44
2018-05-06,48
2018-05-13,35
2018-05-20,36
2018-05-27,48
2018-06-03,43
2018-06-10,41
2018-06-17,42
2018-06-24,45
2018-07-01,48
2018-07-08,46
2018-07-15,39
2018-07-22,45
2018-07-29,39
2018-08-05,41
2018-08-12,40
2018-08-19,48
2018-08-26,46
2018-09-02,48
2018-09-09,52
2018-09-16,40
2018-09-23,44
2018-09-30,49
2018-10-07,44
2018-10-14,43
2018-10-21,45
2018-10-28,32
2018-11-04,39
2018-11-11,49
2018-11-18,32
2018-11-25,43
2018-12-02,36
2018-12-09,44
2018-12-16,38
2018-12-23,52
2018-12-30,49
2019-01-06,39
2019-01-13,45
2019-01-20,34
2019-01-27,78
2019-02-03,86
2019-02-10,74
2019-02-17,84
2019-02-24,96
2019-03-03,86
2019-03-10,100
2019-03-17,91
2019-03-24,88
2019-03-31,53
2019-04-07,47
2019-04-14,50
2019-04-21,46
2019-04-28,39
2019-05-05,46
2019-05-12,50
2019-05-19,65
2019-05-26,72
2019-06-02,58
2019-06-09,48
2019-06-16,63
2019-06-23,51
2019-06-30,57
2019-07-07,53
2019-07-14,66
2019-07-21,49
2019-07-28,53
2019-08-04,49
2019-08-11,48
2019-08-18,48
2019-08-25,60
2019-09-01,70
2019-09-08,54
2019-09-15,56
2019-09-22,61
2019-09-29,68
2019-10-06,52
2019-10-13,52
2019-10-20,57
2019-10-27,49
2019-11-03,52
2019-11-10,45
2019-11-17,52
2019-11-24,47
2019-12-01,52
2019-12-08,45
2019-12-15,45
2019-12-22,61
2019-12-29,63
2020-01-05,55
2020-01-12,59
2020-01-19,57
2020-01-26,52
2020-02-02,56
2020-02-09,45
2020-02-16,53
2020-02-23,50
2020-03-01,46
2020-03-08,46
2020-03-15,56
2020-03-22,58
2020-03-29,60
2020-04-05,72
2020-04-12,66
2020-04-19,69
2020-04-26,64
2020-05-03,69
2020-05-10,65
2020-05-17,67
2020-05-24,60
2020-05-31,65
2020-06-07,62
2020-06-14,52
2020-06-21,55
2020-06-28,61
2020-07-05,60
2020-07-12,57
2020-07-19,54
2020-07-26,45
2020-08-02,51
2020-08-09,57
2020-08-16,48
2020-08-23,56
2020-08-30,65
2020-09-06,58
2020-09-13,56
2020-09-20,59
2020-09-27,52
2020-10-04,52
2020-10-11,61
2020-10-18,53
2020-10-25,65
2020-11-01,56
2020-11-08,59
2020-11-15,56
2020-11-22,59
2020-11-29,54
2020-12-06,48
2020-12-13,56
2020-12-20,66
2020-12-27,72
