Category: All categories

Week,Pet: (South Korea)
2018-01-07,44
2018-01-14,46
2018-01-21,81
2018-01-28,84
2018-02-04,57
2018-02-11,66
2018-02-18,62
2018-02-25,65
2018-03-04,79
2018-03-11,61
2018-03-18,64
2018-03-25,72
2018-04-01,81
2018-04-08,84
2018-04-15,63
2018-04-22,50
2018-04-29,60
2018-05-06,60
2018-05-13,47
2018-05-20,64
2018-05-27,67
2018-06-03,56
2018-06-10,69
2018-06-17,61
2018-06-24,65
2018-07-01,77
2018-07-08,51
2018-07-15,67
2018-07-22,73
2018-07-29,73
2018-08-05,54
2018-08-12,51
2018-08-19,61
2018-08-26,67
2018-09-02,67
2018-09-09,62
2018-09-16,73
2018-09-23,66
2018-09-30,73
2018-10-07,66
2018-10-14,71
2018-10-21,46
2018-10-28,62
2018-11-04,62
2018-11-11,79
2018-11-18,64
2018-11-25,63
2018-12-02,56
2018-12-09,57
2018-12-16,53
2018-12-23,77
2018-12-30,67
2019-01-06,63
2019-01-13,71
2019-01-20,62
2019-01-27,52
2019-02-03,52
2019-02-10,61
2019-02-17,55
2019-02-24,60
2019-03-03,57
2019-03-10,44
2019-03-17,48
2019-03-24,52
2019-03-31,70
2019-04-07,78
2019-04-14,57
2019-04-21,69
2019-04-28,81
2019-05-05,57
2019-05-12,57
2019-05-19,64
2019-05-26,87
2019-06-02,78
2019-06-09,89
2019-06-16,69
2019-06-23,69
2019-06-30,87
2019-07-07,82
2019-07-14,72
2019-07-21,76
2019-07-28,47
2019-08-04,50
2019-08-11,76
2019-08-18,69
2019-08-25,63
2019-09-01,70
2019-09-08,88
2019-09-15,66
2019-09-22,65
2019-09-29,74
2019-10-06,62
2019-10-13,64
2019-10-20,70
2019-10-27,65
2019-11-03,66
2019-11-10,75
2019-11-17,81
2019-11-24,53
2019-12-01,84
2019-12-08,64
2019-12-15,75
2019-12-22,68
2019-12-29,49
2020-01-05,56
2020-01-12,81
2020-01-19,57
2020-01-26,66
2020-02-02,66
2020-02-09,66
2020-02-16,69
2020-02-23,73
2020-03-01,81
2020-03-08,78
2020-03-15,92
2020-03-22,79
2020-03-29,91
2020-04-05,81
2020-04-12,91
2020-04-19,53
2020-04-26,66
2020-05-03,71
2020-05-10,74
2020-05-17,74
2020-05-24,70
2020-05-31,77
2020-06-07,76
2020-06-14,67
2020-06-21,70
2020-06-28,72
2020-07-05,75
2020-07-12,73
2020-07-19,58
2020-07-26,82
2020-08-02,59
2020-08-09,68
2020-08-16,65
2020-08-23,55
2020-08-30,67
2020-09-06,75
2020-09-13,83
2020-09-20,74
2020-09-27,54
2020-10-04,72
2020-10-11,68
2020-10-18,72
2020-10-25,79
2020-11-01,74
2020-11-08,73
2020-11-15,66
2020-11-22,71
2020-11-29,74
2020-12-06,100
2020-12-13,85
2020-12-20,52
2020-12-27,70
