Category: All categories

Week,Pet: (Nigeria)
2018-01-07,31
2018-01-14,20
2018-01-21,38
2018-01-28,40
2018-02-04,30
2018-02-11,27
2018-02-18,36
2018-02-25,58
2018-03-04,44
2018-03-11,48
2018-03-18,58
2018-03-25,46
2018-04-01,39
2018-04-08,27
2018-04-15,22
2018-04-22,22
2018-04-29,22
2018-05-06,40
2018-05-13,25
2018-05-20,29
2018-05-27,44
2018-06-03,32
2018-06-10,16
2018-06-17,41
2018-06-24,22
2018-07-01,31
2018-07-08,36
2018-07-15,37
2018-07-22,34
2018-07-29,21
2018-08-05,33
2018-08-12,31
2018-08-19,18
2018-08-26,25
2018-09-02,42
2018-09-09,30
2018-09-16,22
2018-09-23,30
2018-09-30,17
2018-10-07,23
2018-10-14,41
2018-10-21,37
2018-10-28,31
2018-11-04,41
2018-11-11,24
2018-11-18,37
2018-11-25,51
2018-12-02,43
2018-12-09,30
2018-12-16,28
2018-12-23,21
2018-12-30,26
2019-01-06,36
2019-01-13,38
2019-01-20,34
2019-01-27,50
2019-02-03,38
2019-02-10,31
2019-02-17,25
2019-02-24,35
2019-03-03,48
2019-03-10,29
2019-03-17,21
2019-03-24,40
2019-03-31,28
2019-04-07,37
2019-04-14,43
2019-04-21,38
2019-04-28,42
2019-05-05,38
2019-05-12,40
2019-05-19,40
2019-05-26,19
2019-06-02,28
2019-06-09,33
2019-06-16,62
2019-06-23,28
2019-06-30,27
2019-07-07,39
2019-07-14,39
2019-07-21,33
2019-07-28,47
2019-08-04,35
2019-08-11,62
2019-08-18,46
2019-08-25,35
2019-09-01,35
2019-09-08,57
2019-09-15,39
2019-09-22,50
2019-09-29,35
2019-10-06,47
2019-10-13,20
2019-10-20,56
2019-10-27,35
2019-11-03,54
2019-11-10,41
2019-11-17,41
2019-11-24,39
2019-12-01,45
2019-12-08,34
2019-12-15,42
2019-12-22,31
2019-12-29,38
2020-01-05,32
2020-01-12,66
2020-01-19,39
2020-01-26,50
2020-02-02,45
2020-02-09,24
2020-02-16,47
2020-02-23,45
2020-03-01,39
2020-03-08,36
2020-03-15,40
2020-03-22,77
2020-03-29,57
2020-04-05,64
2020-04-12,66
2020-04-19,39
2020-04-26,100
2020-05-03,72
2020-05-10,58
2020-05-17,72
2020-05-24,21
2020-05-31,52
2020-06-07,78
2020-06-14,64
2020-06-21,41
2020-06-28,60
2020-07-05,64
2020-07-12,50
2020-07-19,50
2020-07-26,46
2020-08-02,59
2020-08-09,43
2020-08-16,62
2020-08-23,66
2020-08-30,47
2020-09-06,62
2020-09-13,54
2020-09-20,58
2020-09-27,59
2020-10-04,81
2020-10-11,56
2020-10-18,36
2020-10-25,51
2020-11-01,55
2020-11-08,41
2020-11-15,45
2020-11-22,51
2020-11-29,41
2020-12-06,48
2020-12-13,49
2020-12-20,44
2020-12-27,44
