Category: All categories

Week,Pet: (Singapore)
2018-01-07,73
2018-01-14,61
2018-01-21,67
2018-01-28,61
2018-02-04,63
2018-02-11,68
2018-02-18,75
2018-02-25,62
2018-03-04,62
2018-03-11,72
2018-03-18,62
2018-03-25,79
2018-04-01,90
2018-04-08,68
2018-04-15,75
2018-04-22,71
2018-04-29,72
2018-05-06,49
2018-05-13,74
2018-05-20,55
2018-05-27,68
2018-06-03,75
2018-06-10,57
2018-06-17,61
2018-06-24,55
2018-07-01,60
2018-07-08,58
2018-07-15,49
2018-07-22,70
2018-07-29,60
2018-08-05,73
2018-08-12,58
2018-08-19,68
2018-08-26,67
2018-09-02,60
2018-09-09,61
2018-09-16,68
2018-09-23,62
2018-09-30,58
2018-10-07,46
2018-10-14,63
2018-10-21,62
2018-10-28,51
2018-11-04,65
2018-11-11,58
2018-11-18,46
2018-11-25,85
2018-12-02,71
2018-12-09,71
2018-12-16,62
2018-12-23,62
2018-12-30,67
2019-01-06,63
2019-01-13,64
2019-01-20,57
2019-01-27,57
2019-02-03,71
2019-02-10,54
2019-02-17,54
2019-02-24,63
2019-03-03,65
2019-03-10,70
2019-03-17,56
2019-03-24,69
2019-03-31,64
2019-04-07,85
2019-04-14,81
2019-04-21,45
2019-04-28,51
2019-05-05,47
2019-05-12,70
2019-05-19,69
2019-05-26,53
2019-06-02,67
2019-06-09,74
2019-06-16,64
2019-06-23,62
2019-06-30,57
2019-07-07,69
2019-07-14,67
2019-07-21,65
2019-07-28,66
2019-08-04,46
2019-08-11,65
2019-08-18,53
2019-08-25,59
2019-09-01,57
2019-09-08,65
2019-09-15,59
2019-09-22,61
2019-09-29,60
2019-10-06,62
2019-10-13,69
2019-10-20,52
2019-10-27,57
2019-11-03,61
2019-11-10,60
2019-11-17,67
2019-11-24,53
2019-12-01,56
2019-12-08,61
2019-12-15,62
2019-12-22,80
2019-12-29,72
2020-01-05,62
2020-01-12,66
2020-01-19,55
2020-01-26,56
2020-02-02,67
2020-02-09,50
2020-02-16,70
2020-02-23,46
2020-03-01,65
2020-03-08,60
2020-03-15,55
2020-03-22,62
2020-03-29,78
2020-04-05,77
2020-04-12,65
2020-04-19,95
2020-04-26,81
2020-05-03,87
2020-05-10,71
2020-05-17,100
2020-05-24,74
2020-05-31,88
2020-06-07,79
2020-06-14,71
2020-06-21,89
2020-06-28,71
2020-07-05,67
2020-07-12,60
2020-07-19,76
2020-07-26,74
2020-08-02,82
2020-08-09,87
2020-08-16,78
2020-08-23,75
2020-08-30,75
2020-09-06,90
2020-09-13,83
2020-09-20,80
2020-09-27,74
2020-10-04,69
2020-10-11,69
2020-10-18,82
2020-10-25,83
2020-11-01,62
2020-11-08,72
2020-11-15,71
2020-11-22,70
2020-11-29,73
2020-12-06,78
2020-12-13,78
2020-12-20,85
2020-12-27,72
