Category: All categories

Week,Running: (Canada)
2018-01-07,53
2018-01-14,58
2018-01-21,52
2018-01-28,48
2018-02-04,54
2018-02-11,56
2018-02-18,53
2018-02-25,62
2018-03-04,66
2018-03-11,63
2018-03-18,65
2018-03-25,69
2018-04-01,65
2018-04-08,60
2018-04-15,68
2018-04-22,97
2018-04-29,91
2018-05-06,88
2018-05-13,79
2018-05-20,77
2018-05-27,85
2018-06-03,76
2018-06-10,71
2018-06-17,72
2018-06-24,68
2018-07-01,58
2018-07-08,66
2018-07-15,68
2018-07-22,60
2018-07-29,60
2018-08-05,66
2018-08-12,63
2018-08-19,58
2018-08-26,68
2018-09-02,70
2018-09-09,67
2018-09-16,69
2018-09-23,69
2018-09-30,61
2018-10-07,58
2018-10-14,64
2018-10-21,54
2018-10-28,55
2018-11-04,53
2018-11-11,48
2018-11-18,49
2018-11-25,54
2018-12-02,47
2018-12-09,52
2018-12-16,44
2018-12-23,49
2018-12-30,54
2019-01-06,56
2019-01-13,58
2019-01-20,57
2019-01-27,52
2019-02-03,47
2019-02-10,44
2019-02-17,49
2019-02-24,55
2019-03-03,55
2019-03-10,57
2019-03-17,65
2019-03-24,69
2019-03-31,74
2019-04-07,83
2019-04-14,87
2019-04-21,73
2019-04-28,76
2019-05-05,79
2019-05-12,81
2019-05-19,78
2019-05-26,73
2019-06-02,75
2019-06-09,67
2019-06-16,74
2019-06-23,73
2019-06-30,60
2019-07-07,72
2019-07-14,69
2019-07-21,63
2019-07-28,65
2019-08-04,63
2019-08-11,64
2019-08-18,71
2019-08-25,66
2019-09-01,71
2019-09-08,71
2019-09-15,81
2019-09-22,82
2019-09-29,65
2019-10-06,63
2019-10-13,62
2019-10-20,64
2019-10-27,54
2019-11-03,51
2019-11-10,54
2019-11-17,53
2019-11-24,48
2019-12-01,52
2019-12-08,51
2019-12-15,47
2019-12-22,53
2019-12-29,62
2020-01-05,58
2020-01-12,58
2020-01-19,59
2020-01-26,60
2020-02-02,58
2020-02-09,58
2020-02-16,61
2020-02-23,60
2020-03-01,60
2020-03-08,61
2020-03-15,60
2020-03-22,69
2020-03-29,77
2020-04-05,76
2020-04-12,84
2020-04-19,83
2020-04-26,92
2020-05-03,93
2020-05-10,88
2020-05-17,100
2020-05-24,91
2020-05-31,87
2020-06-07,83
2020-06-14,77
2020-06-21,69
2020-06-28,74
2020-07-05,73
2020-07-12,75
2020-07-19,70
2020-07-26,72
2020-08-02,70
2020-08-09,68
2020-08-16,69
2020-08-23,67
2020-08-30,67
2020-09-06,71
2020-09-13,69
2020-09-20,68
2020-09-27,63
2020-10-04,60
2020-10-11,60
2020-10-18,60
2020-10-25,63
2020-11-01,51
2020-11-08,56
2020-11-15,55
2020-11-22,62
2020-11-29,58
2020-12-06,55
2020-12-13,54
2020-12-20,55
2020-12-27,71
