Category: All categories

Week,Running: (France)
2018-01-07,76
2018-01-14,67
2018-01-21,72
2018-01-28,66
2018-02-04,62
2018-02-11,58
2018-02-18,65
2018-02-25,66
2018-03-04,78
2018-03-11,78
2018-03-18,86
2018-03-25,74
2018-04-01,80
2018-04-08,83
2018-04-15,84
2018-04-22,78
2018-04-29,84
2018-05-06,79
2018-05-13,76
2018-05-20,81
2018-05-27,82
2018-06-03,78
2018-06-10,76
2018-06-17,72
2018-06-24,73
2018-07-01,65
2018-07-08,61
2018-07-15,62
2018-07-22,66
2018-07-29,64
2018-08-05,66
2018-08-12,68
2018-08-19,72
2018-08-26,82
2018-09-02,90
2018-09-09,93
2018-09-16,96
2018-09-23,88
2018-09-30,88
2018-10-07,88
2018-10-14,99
2018-10-21,100
2018-10-28,81
2018-11-04,72
2018-11-11,71
2018-11-18,72
2018-11-25,69
2018-12-02,73
2018-12-09,57
2018-12-16,59
2018-12-23,61
2018-12-30,69
2019-01-06,73
2019-01-13,69
2019-01-20,69
2019-01-27,55
2019-02-03,51
2019-02-10,49
2019-02-17,58
2019-02-24,68
2019-03-03,60
2019-03-10,63
2019-03-17,63
2019-03-24,69
2019-03-31,81
2019-04-07,87
2019-04-14,86
2019-04-21,82
2019-04-28,90
2019-05-05,86
2019-05-12,82
2019-05-19,80
2019-05-26,78
2019-06-02,69
2019-06-09,76
2019-06-16,76
2019-06-23,65
2019-06-30,66
2019-07-07,60
2019-07-14,65
2019-07-21,56
2019-07-28,70
2019-08-04,66
2019-08-11,69
2019-08-18,78
2019-08-25,74
2019-09-01,88
2019-09-08,97
2019-09-15,96
2019-09-22,85
2019-09-29,92
2019-10-06,93
2019-10-13,92
2019-10-20,86
2019-10-27,80
2019-11-03,76
2019-11-10,80
2019-11-17,73
2019-11-24,72
2019-12-01,69
2019-12-08,65
2019-12-15,61
2019-12-22,68
2019-12-29,67
2020-01-05,71
2020-01-12,78
2020-01-19,74
2020-01-26,72
2020-02-02,77
2020-02-09,70
2020-02-16,67
2020-02-23,73
2020-03-01,67
2020-03-08,67
2020-03-15,62
2020-03-22,67
2020-03-29,62
2020-04-05,66
2020-04-12,77
2020-04-19,78
2020-04-26,72
2020-05-03,68
2020-05-10,67
2020-05-17,69
2020-05-24,61
2020-05-31,62
2020-06-07,57
2020-06-14,58
2020-06-21,52
2020-06-28,50
2020-07-05,52
2020-07-12,60
2020-07-19,54
2020-07-26,54
2020-08-02,60
2020-08-09,57
2020-08-16,58
2020-08-23,62
2020-08-30,59
2020-09-06,64
2020-09-13,57
2020-09-20,60
2020-09-27,63
2020-10-04,59
2020-10-11,56
2020-10-18,56
2020-10-25,56
2020-11-01,61
2020-11-08,79
2020-11-15,69
2020-11-22,71
2020-11-29,75
2020-12-06,67
2020-12-13,60
2020-12-20,59
2020-12-27,68
