Category: All categories

Week,Running: (India)
2018-01-07,46
2018-01-14,43
2018-01-21,44
2018-01-28,43
2018-02-04,42
2018-02-11,39
2018-02-18,39
2018-02-25,42
2018-03-04,38
2018-03-11,42
2018-03-18,37
2018-03-25,40
2018-04-01,40
2018-04-08,38
2018-04-15,32
2018-04-22,39
2018-04-29,34
2018-05-06,37
2018-05-13,34
2018-05-20,37
2018-05-27,33
2018-06-03,36
2018-06-10,36
2018-06-17,36
2018-06-24,35
2018-07-01,40
2018-07-08,39
2018-07-15,38
2018-07-22,41
2018-07-29,37
2018-08-05,41
2018-08-12,36
2018-08-19,39
2018-08-26,42
2018-09-02,39
2018-09-09,40
2018-09-16,40
2018-09-23,38
2018-09-30,39
2018-10-07,46
2018-10-14,41
2018-10-21,40
2018-10-28,39
2018-11-04,37
2018-11-11,37
2018-11-18,43
2018-11-25,44
2018-12-02,40
2018-12-09,39
2018-12-16,40
2018-12-23,38
2018-12-30,39
2019-01-06,39
2019-01-13,37
2019-01-20,42
2019-01-27,39
2019-02-03,37
2019-02-10,38
2019-02-17,37
2019-02-24,32
2019-03-03,36
2019-03-10,36
2019-03-17,37
2019-03-24,35
2019-03-31,32
2019-04-07,29
2019-04-14,31
2019-04-21,31
2019-04-28,31
2019-05-05,32
2019-05-12,37
2019-05-19,32
2019-05-26,35
2019-06-02,30
2019-06-09,31
2019-06-16,35
2019-06-23,33
2019-06-30,33
2019-07-07,36
2019-07-14,36
2019-07-21,37
2019-07-28,38
2019-08-04,33
2019-08-11,37
2019-08-18,36
2019-08-25,39
2019-09-01,36
2019-09-08,40
2019-09-15,37
2019-09-22,40
2019-09-29,42
2019-10-06,38
2019-10-13,40
2019-10-20,35
2019-10-27,36
2019-11-03,39
2019-11-10,41
2019-11-17,52
2019-11-24,47
2019-12-01,43
2019-12-08,38
2019-12-15,40
2019-12-22,42
2019-12-29,38
2020-01-05,38
2020-01-12,40
2020-01-19,40
2020-01-26,36
2020-02-02,36
2020-02-09,38
2020-02-16,40
2020-02-23,41
2020-03-01,34
2020-03-08,33
2020-03-15,33
2020-03-22,25
2020-03-29,25
2020-04-05,26
2020-04-12,27
2020-04-19,31
2020-04-26,30
2020-05-03,35
2020-05-10,39
2020-05-17,38
2020-05-24,39
2020-05-31,42
2020-06-07,44
2020-06-14,39
2020-06-21,44
2020-06-28,41
2020-07-05,40
2020-07-12,39
2020-07-19,41
2020-07-26,43
2020-08-02,39
2020-08-09,43
2020-08-16,45
2020-08-23,49
2020-08-30,45
2020-09-06,48
2020-09-13,49
2020-09-20,43
2020-09-27,41
2020-10-04,43
2020-10-11,50
2020-10-18,63
2020-10-25,70
2020-11-01,89
2020-11-08,100
2020-11-15,43
2020-11-22,45
2020-11-29,42
2020-12-06,41
2020-12-13,43
2020-12-20,45
2020-12-27,41
