Category: All categories

Week,Running: (Thailand)
2018-01-07,69
2018-01-14,69
2018-01-21,77
2018-01-28,75
2018-02-04,77
2018-02-11,70
2018-02-18,70
2018-02-25,69
2018-03-04,63
2018-03-11,74
2018-03-18,64
2018-03-25,70
2018-04-01,57
2018-04-08,57
2018-04-15,66
2018-04-22,58
2018-04-29,60
2018-05-06,64
2018-05-13,64
2018-05-20,66
2018-05-27,73
2018-06-03,76
2018-06-10,71
2018-06-17,70
2018-06-24,71
2018-07-01,67
2018-07-08,73
2018-07-15,81
2018-07-22,77
2018-07-29,81
2018-08-05,82
2018-08-12,77
2018-08-19,85
2018-08-26,81
2018-09-02,80
2018-09-09,87
2018-09-16,88
2018-09-23,86
2018-09-30,84
2018-10-07,82
2018-10-14,83
2018-10-21,94
2018-10-28,100
2018-11-04,93
2018-11-11,97
2018-11-18,81
2018-11-25,95
2018-12-02,80
2018-12-09,91
2018-12-16,88
2018-12-23,71
2018-12-30,66
2019-01-06,86
2019-01-13,89
2019-01-20,89
2019-01-27,84
2019-02-03,68
2019-02-10,74
2019-02-17,62
2019-02-24,59
2019-03-03,61
2019-03-10,62
2019-03-17,56
2019-03-24,53
2019-03-31,68
2019-04-07,61
2019-04-14,62
2019-04-21,66
2019-04-28,69
2019-05-05,63
2019-05-12,80
2019-05-19,80
2019-05-26,81
2019-06-02,79
2019-06-09,93
2019-06-16,91
2019-06-23,82
2019-06-30,80
2019-07-07,82
2019-07-14,80
2019-07-21,80
2019-07-28,84
2019-08-04,82
2019-08-11,88
2019-08-18,90
2019-08-25,88
2019-09-01,76
2019-09-08,83
2019-09-15,81
2019-09-22,78
2019-09-29,75
2019-10-06,77
2019-10-13,82
2019-10-20,73
2019-10-27,84
2019-11-03,90
2019-11-10,96
2019-11-17,94
2019-11-24,97
2019-12-01,84
2019-12-08,97
2019-12-15,95
2019-12-22,82
2019-12-29,75
2020-01-05,93
2020-01-12,94
2020-01-19,78
2020-01-26,79
2020-02-02,81
2020-02-09,78
2020-02-16,78
2020-02-23,77
2020-03-01,63
2020-03-08,53
2020-03-15,48
2020-03-22,44
2020-03-29,53
2020-04-05,57
2020-04-12,52
2020-04-19,54
2020-04-26,53
2020-05-03,54
2020-05-10,56
2020-05-17,54
2020-05-24,59
2020-05-31,65
2020-06-07,52
2020-06-14,55
2020-06-21,52
2020-06-28,51
2020-07-05,50
2020-07-12,51
2020-07-19,56
2020-07-26,58
2020-08-02,52
2020-08-09,57
2020-08-16,57
2020-08-23,60
2020-08-30,57
2020-09-06,55
2020-09-13,58
2020-09-20,53
2020-09-27,54
2020-10-04,61
2020-10-11,55
2020-10-18,52
2020-10-25,56
2020-11-01,55
2020-11-08,64
2020-11-15,60
2020-11-22,55
2020-11-29,60
2020-12-06,59
2020-12-13,59
2020-12-20,47
2020-12-27,48
