Category: All categories

Week,Video game console: (Canada)
2018-01-07,31
2018-01-14,31
2018-01-21,30
2018-01-28,34
2018-02-04,30
2018-02-11,27
2018-02-18,32
2018-02-25,31
2018-03-04,22
2018-03-11,26
2018-03-18,27
2018-03-25,30
2018-04-01,26
2018-04-08,25
2018-04-15,28
2018-04-22,24
2018-04-29,29
2018-05-06,22
2018-05-13,24
2018-05-20,25
2018-05-27,23
2018-06-03,24
2018-06-10,41
2018-06-17,24
2018-06-24,35
2018-07-01,25
2018-07-08,25
2018-07-15,28
2018-07-22,24
2018-07-29,22
2018-08-05,26
2018-08-12,25
2018-08-19,30
2018-08-26,26
2018-09-02,29
2018-09-09,31
2018-09-16,26
2018-09-23,27
2018-09-30,28
2018-10-07,29
2018-10-14,23
2018-10-21,24
2018-10-28,26
2018-11-04,32
2018-11-11,33
2018-11-18,42
2018-11-25,38
2018-12-02,37
2018-12-09,43
2018-12-16,38
2018-12-23,50
2018-12-30,34
2019-01-06,30
2019-01-13,32
2019-01-20,28
2019-01-27,29
2019-02-03,27
2019-02-10,31
2019-02-17,29
2019-02-24,24
2019-03-03,29
2019-03-10,24
2019-03-17,27
2019-03-24,28
2019-03-31,19
2019-04-07,19
2019-04-14,21
2019-04-21,19
2019-04-28,23
2019-05-05,16
2019-05-12,20
2019-05-19,20
2019-05-26,22
2019-06-02,20
2019-06-09,27
2019-06-16,24
2019-06-23,24
2019-06-30,21
2019-07-07,19
2019-07-14,21
2019-07-21,26
2019-07-28,20
2019-08-04,23
2019-08-11,23
2019-08-18,30
2019-08-25,22
2019-09-01,24
2019-09-08,24
2019-09-15,24
2019-09-22,23
2019-09-29,22
2019-10-06,22
2019-10-13,28
2019-10-20,24
2019-10-27,26
2019-11-03,23
2019-11-10,26
2019-11-17,32
2019-11-24,28
2019-12-01,32
2019-12-08,36
2019-12-15,37
2019-12-22,35
2019-12-29,33
2020-01-05,30
2020-01-12,30
2020-01-19,25
2020-01-26,22
2020-02-02,24
2020-02-09,29
2020-02-16,26
2020-02-23,22
2020-03-01,28
2020-03-08,27
2020-03-15,41
2020-03-22,38
2020-03-29,49
2020-04-05,51
2020-04-12,44
2020-04-19,40
2020-04-26,38
2020-05-03,41
2020-05-10,43
2020-05-17,42
2020-05-24,31
2020-05-31,34
2020-06-07,45
2020-06-14,38
2020-06-21,35
2020-06-28,30
2020-07-05,35
2020-07-12,34
2020-07-19,33
2020-07-26,27
2020-08-02,28
2020-08-09,27
2020-08-16,32
2020-08-23,32
2020-08-30,32
2020-09-06,35
2020-09-13,41
2020-09-20,39
2020-09-27,34
2020-10-04,31
2020-10-11,38
2020-10-18,31
2020-10-25,40
2020-11-01,32
2020-11-08,54
2020-11-15,59
2020-11-22,65
2020-11-29,59
2020-12-06,58
2020-12-13,57
2020-12-20,100
2020-12-27,89
