,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,64,46,72,62,67,66,57,91,71,51,69,39,89,66,55,45,88,80,95,90,70,50,47,95,84,82,71,74,76,48,100,81,73,70,68,91,43,63,39,87,75,87,51,72,68,54,77,85,66,75
1,2018-01-14,78,53,83,70,74,62,57,100,71,56,84,49,100,63,70,41,93,87,95,100,82,56,47,79,91,81,70,81,79,53,93,82,80,69,74,88,30,59,39,100,73,94,70,91,82,46,66,100,68,78
2,2018-01-21,75,48,83,63,64,63,60,96,68,50,64,63,71,63,68,39,97,84,91,96,62,54,45,97,97,78,64,73,72,53,97,73,78,74,59,78,36,61,38,85,77,86,75,100,78,48,49,88,60,79
3,2018-01-28,72,50,89,71,65,58,66,89,70,60,59,73,76,64,80,39,88,58,96,98,74,52,47,75,88,60,76,76,63,54,76,73,69,78,69,88,35,60,39,80,80,93,100,68,85,44,54,85,67,72
4,2018-02-04,73,63,100,54,56,81,69,87,71,48,71,94,84,62,70,44,80,76,90,94,64,48,48,90,80,76,67,67,73,56,87,68,75,91,86,76,31,61,44,85,75,90,96,76,82,51,75,84,67,79
5,2018-02-11,62,55,91,71,73,87,62,84,71,47,81,100,79,59,64,45,88,72,94,83,51,43,48,78,83,77,71,72,62,55,80,63,71,83,100,82,33,49,45,71,79,85,83,65,88,54,77,81,55,88
6,2018-02-18,79,71,87,60,66,68,90,81,72,52,75,87,67,66,67,49,97,66,89,91,65,49,47,79,90,86,71,80,72,60,87,57,79,63,76,93,37,56,38,81,80,81,83,86,100,48,85,82,73,88
7,2018-02-25,86,70,91,65,67,68,98,84,62,54,51,84,82,65,74,51,87,65,88,82,78,55,44,69,91,87,69,76,71,59,83,61,68,93,74,80,41,61,36,72,79,88,89,66,76,43,82,86,76,89
8,2018-03-04,73,71,92,64,72,69,92,90,82,70,97,80,61,62,70,46,86,71,91,89,74,58,47,91,87,75,68,79,82,59,85,58,72,71,72,97,48,51,39,85,75,87,95,75,79,43,88,86,77,74
9,2018-03-11,76,78,92,66,79,78,95,78,67,93,88,80,80,61,72,42,86,96,93,85,78,53,47,71,67,79,68,74,86,59,90,57,73,71,70,79,82,47,40,84,85,88,90,72,81,39,79,82,78,90
10,2018-03-18,90,84,90,65,69,79,93,89,74,94,69,71,65,61,67,39,81,74,97,84,69,59,45,76,54,94,65,78,86,54,85,72,74,74,73,82,98,40,39,82,74,89,87,78,84,36,74,83,79,87
11,2018-03-25,57,79,90,48,64,54,80,81,60,75,74,55,70,57,64,38,75,82,94,86,100,52,45,59,61,67,67,67,88,39,85,62,69,60,71,84,80,29,32,63,75,75,91,79,91,32,85,81,91,77
12,2018-04-01,54,83,88,55,62,72,96,88,65,84,85,78,68,56,69,38,81,80,93,77,59,43,46,66,78,63,64,68,92,41,70,48,74,82,67,76,82,32,39,79,61,85,73,71,85,31,78,83,86,78
13,2018-04-08,77,82,86,62,67,48,98,93,59,84,57,75,78,59,71,38,92,71,93,80,66,50,45,81,78,80,73,79,92,58,74,50,70,68,72,76,74,37,43,83,66,89,80,70,81,25,77,83,83,90
14,2018-04-15,80,83,86,69,72,82,100,87,62,85,78,79,78,62,71,45,85,87,83,79,65,48,44,83,90,83,73,76,81,59,85,52,71,73,66,91,73,33,38,80,76,84,70,72,84,31,76,84,87,85
15,2018-04-22,71,84,81,62,69,82,91,83,62,88,82,74,70,65,58,40,84,66,79,82,72,42,44,79,87,86,67,78,85,51,76,50,62,65,71,83,63,31,42,80,91,88,59,65,68,32,70,87,68,74
16,2018-04-29,78,78,90,62,65,80,78,82,59,76,73,63,55,56,61,40,80,76,80,85,56,39,46,84,73,74,62,79,96,52,73,46,70,57,74,66,58,32,34,73,74,83,54,69,68,24,64,88,76,89
17,2018-05-06,67,84,95,50,64,70,91,86,57,76,70,67,79,55,71,38,95,89,83,79,73,45,46,71,78,68,72,79,78,52,57,54,64,89,81,79,54,34,40,87,100,89,50,63,58,31,60,86,71,89
18,2018-05-13,56,80,89,58,54,85,92,80,71,86,63,76,80,58,82,33,85,58,88,80,74,35,49,64,82,64,73,80,88,50,67,59,76,59,71,70,65,31,42,99,95,98,43,58,61,39,60,80,66,85
19,2018-05-20,63,82,95,54,68,74,87,80,62,79,52,80,79,53,56,38,90,67,87,75,68,68,56,68,76,84,70,82,81,50,90,48,70,79,75,87,60,32,40,85,79,90,41,68,70,51,57,79,59,92
20,2018-05-27,66,88,92,44,57,81,74,84,61,80,67,74,75,55,56,42,81,64,83,71,68,35,100,70,75,73,69,83,78,53,78,51,74,66,87,68,60,31,37,80,69,90,43,76,62,46,56,79,68,92
21,2018-06-03,52,80,89,47,56,65,88,84,66,89,64,61,67,59,59,40,87,65,80,79,58,24,65,67,76,80,76,83,84,52,72,51,69,68,80,68,59,68,39,87,72,82,57,62,67,49,45,78,66,95
22,2018-06-10,53,69,86,52,61,45,90,89,73,83,63,57,59,56,48,36,84,73,80,85,65,20,51,75,66,89,66,77,87,48,60,47,68,65,76,48,60,57,34,85,69,76,49,53,52,41,37,73,50,72
23,2018-06-17,52,76,87,57,60,43,77,75,57,74,84,44,75,51,62,45,78,76,74,78,51,16,50,68,68,87,71,80,83,42,63,41,62,50,74,52,46,83,28,69,67,71,56,64,55,41,45,70,47,77
24,2018-06-24,56,73,87,54,45,61,74,70,59,86,93,41,53,53,51,100,74,59,74,73,56,18,52,64,85,66,63,87,71,37,67,61,58,50,77,65,53,100,32,68,71,73,47,59,57,36,42,70,46,68
25,2018-07-01,58,70,82,42,55,69,68,66,56,83,58,47,61,52,54,77,74,57,66,71,54,21,49,54,81,66,52,79,76,34,84,55,63,54,71,69,54,89,29,64,58,75,49,62,56,41,49,70,53,76
26,2018-07-08,44,67,80,63,49,66,69,68,62,58,63,67,47,56,68,79,67,58,60,72,56,24,46,47,68,75,54,91,66,37,84,57,61,49,69,65,48,82,31,68,58,79,48,71,48,44,46,71,54,80
27,2018-07-15,41,60,87,49,47,65,64,71,53,58,41,63,52,50,56,80,69,62,66,76,56,33,44,66,74,67,52,90,72,34,69,49,58,49,64,62,51,69,30,68,59,68,57,76,65,46,42,73,57,78
28,2018-07-22,47,66,98,49,48,65,73,70,39,66,77,73,62,48,56,58,62,53,63,71,59,58,44,58,74,60,47,95,68,35,72,59,53,59,81,62,45,64,24,65,64,68,54,66,72,45,42,75,65,77
29,2018-07-29,38,74,92,50,43,71,74,71,65,78,62,73,47,47,49,61,61,46,64,72,59,71,44,58,74,64,50,95,64,40,81,60,62,62,84,70,38,78,28,53,62,71,55,70,69,46,50,70,53,73
30,2018-08-05,49,80,98,54,51,49,84,72,53,100,53,69,55,54,59,49,60,64,62,71,71,61,44,68,80,79,50,98,73,48,80,42,65,72,83,79,45,77,26,60,58,74,64,64,63,48,50,72,65,90
31,2018-08-12,49,78,97,50,48,80,87,73,60,91,51,71,67,58,71,56,59,74,62,78,53,47,43,74,79,74,46,100,65,61,77,52,64,77,80,79,51,66,29,54,42,72,47,59,70,47,42,76,52,90
32,2018-08-19,37,79,91,55,63,58,88,70,56,82,63,76,57,54,66,37,62,83,67,74,53,49,44,64,73,70,51,89,74,95,70,60,63,78,82,53,62,60,32,66,58,84,51,68,60,62,34,80,74,87
33,2018-08-26,55,79,95,54,74,73,89,72,62,85,62,78,69,60,61,47,69,71,71,83,55,63,43,76,66,67,56,95,90,100,78,53,65,80,80,82,46,66,30,58,55,77,57,57,69,55,47,82,68,88
34,2018-09-02,70,80,96,63,100,61,79,81,68,79,100,70,89,63,62,57,82,93,88,86,76,65,45,83,71,78,67,87,96,87,66,52,78,74,83,89,61,74,37,67,68,93,61,62,76,84,55,87,74,92
35,2018-09-09,68,71,93,66,68,87,94,87,75,67,62,69,76,61,65,54,88,76,94,95,72,57,43,90,74,73,71,91,88,75,73,73,77,77,78,80,48,66,38,59,76,98,85,70,69,82,53,85,72,78
36,2018-09-16,64,76,95,64,73,53,94,85,60,59,59,65,82,63,70,47,86,66,100,93,63,69,44,84,72,68,73,89,84,68,89,65,76,71,87,89,55,64,41,84,89,96,90,69,69,65,74,85,75,76
