,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,15,59,83,51,71,0,86,54,58,47,0,39,50,40,36,45,65,44,100,33,0,7,64,47,0,48,66,57,29,51,48,64,23,48,42,14,87,39,15,51,19,87,30,34,0,41,8,72,42,23
1,2018-01-14,59,69,63,38,53,0,78,63,26,41,0,24,57,39,36,22,67,61,88,31,14,15,47,38,32,51,67,60,35,46,60,61,35,24,60,14,66,44,27,45,18,46,26,25,65,29,30,68,51,23
2,2018-01-21,30,69,48,45,35,67,77,56,39,35,0,31,65,47,24,14,77,96,82,40,28,8,42,15,0,69,63,64,35,61,60,46,38,84,51,0,21,61,34,56,0,47,72,8,32,10,15,67,15,22
3,2018-01-28,89,54,53,26,43,100,58,69,32,26,0,29,72,46,24,43,74,26,84,37,0,10,81,0,31,63,56,58,35,51,49,31,45,12,61,27,76,39,16,88,19,62,0,25,54,10,24,74,27,22
4,2018-02-04,30,48,72,46,65,0,71,76,45,79,0,38,71,35,0,23,54,44,75,31,14,15,34,23,0,61,45,70,30,42,60,16,33,36,50,42,21,55,33,70,0,57,48,51,76,0,23,66,17,66
5,2018-02-11,15,63,38,33,45,33,84,56,64,53,63,34,45,35,13,43,57,36,80,34,29,13,64,39,32,55,46,65,26,48,63,48,37,48,39,13,38,51,22,76,38,45,46,10,0,19,44,67,27,36
6,2018-02-18,15,86,64,32,51,34,79,67,72,30,0,47,45,50,25,29,56,9,87,41,12,10,84,38,0,89,54,61,35,31,48,0,20,13,48,39,29,55,27,64,0,32,24,26,45,0,46,69,22,44
7,2018-02-25,44,82,46,82,32,0,79,61,58,48,0,36,64,51,0,44,55,27,74,43,22,17,52,29,33,25,46,63,18,32,68,64,54,24,19,26,45,43,26,42,37,61,54,25,56,28,15,69,50,22
8,2018-03-04,15,71,63,32,50,0,72,57,49,47,0,33,51,59,24,29,40,9,83,30,22,19,57,23,69,66,56,68,67,32,11,46,26,12,66,93,49,32,27,30,0,63,42,25,11,10,8,72,35,28
9,2018-03-11,15,59,70,45,100,0,86,59,43,41,33,42,38,46,12,37,44,61,74,31,44,20,54,47,0,67,50,54,24,42,12,0,52,12,0,13,38,38,24,36,19,65,36,33,11,38,47,70,68,51
