,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,45,26,38,55,64,46,42,52,45,24,43,26,23,51,61,44,27,35,95,59,64,41,90,51,45,61,46,66,39,31,82,51,40,67,51,96,25,43,28,27,44,21,41,59,69,77,46,62,55,64
1,2018-01-14,63,36,45,59,94,52,21,48,79,32,54,36,49,51,64,50,43,35,98,60,89,51,88,49,45,58,37,84,49,39,86,38,54,58,47,72,19,36,35,41,31,40,44,65,36,64,24,65,48,47
2,2018-01-21,63,34,49,52,76,51,49,48,54,16,22,70,40,51,49,45,40,54,100,60,61,47,81,59,78,72,25,69,46,60,85,35,44,62,39,81,49,41,45,48,50,17,45,83,38,67,29,62,40,71
3,2018-01-28,63,25,48,42,62,55,37,54,86,40,34,34,27,54,61,35,41,30,92,59,57,35,91,47,43,38,26,60,71,72,80,55,54,50,50,98,25,39,44,41,32,30,63,78,63,69,30,65,56,82
4,2018-02-04,62,24,54,53,65,39,44,55,58,12,0,59,37,52,31,53,30,51,84,60,90,60,85,73,58,44,35,68,56,77,86,77,53,67,43,84,49,60,29,34,31,33,45,82,48,78,24,69,62,78
5,2018-02-11,69,40,49,31,71,46,29,54,66,25,55,50,13,52,42,82,32,31,84,68,71,43,88,73,58,22,40,66,44,46,62,43,46,30,66,92,30,44,52,20,43,21,100,47,44,77,43,66,25,65
6,2018-02-18,63,60,41,65,72,52,52,50,53,42,17,44,42,50,44,20,41,46,86,61,55,31,76,70,58,15,37,68,49,41,61,47,44,71,37,92,50,43,44,41,47,30,44,80,42,71,26,61,32,68
7,2018-02-25,43,57,46,54,79,47,41,49,75,15,22,77,24,59,31,59,31,50,87,55,52,51,72,59,84,54,40,65,47,60,76,54,52,73,44,61,29,49,39,39,51,24,36,42,45,57,27,63,58,53
8,2018-03-04,39,46,53,41,65,9,50,58,71,48,41,74,39,56,48,63,36,45,92,68,75,38,78,74,72,52,38,51,69,72,81,42,51,71,40,63,34,44,27,59,34,30,72,66,58,47,37,67,47,69
9,2018-03-11,66,61,47,51,82,32,54,59,53,42,29,45,34,56,43,40,45,55,89,64,22,31,94,72,59,45,43,57,56,100,80,36,51,73,68,60,23,33,48,52,52,29,49,61,59,56,37,63,57,73
10,2018-03-18,57,64,58,76,85,83,53,55,52,42,38,55,24,62,76,64,32,54,84,68,57,38,90,53,89,30,40,58,88,67,66,31,59,74,70,66,39,30,32,27,35,35,78,48,36,59,28,63,40,66
11,2018-03-25,40,55,61,69,73,38,39,61,76,33,46,28,44,41,63,27,64,68,89,67,64,52,89,48,55,16,32,50,70,24,84,51,47,67,55,71,77,27,38,49,41,18,96,51,62,54,39,66,48,75
12,2018-04-01,38,44,45,61,51,60,49,51,41,41,22,76,42,47,55,40,31,45,76,59,79,40,85,48,51,97,36,69,69,27,87,43,42,64,53,58,60,36,32,33,49,29,63,59,28,43,46,60,64,57
13,2018-04-08,51,39,49,63,49,59,50,51,44,52,25,60,38,48,49,43,28,50,79,54,72,44,84,57,69,43,52,74,66,77,82,26,41,80,48,83,34,26,21,46,41,33,90,51,29,61,43,64,58,63
14,2018-04-15,79,49,52,44,65,40,42,46,51,48,17,73,31,49,53,36,26,50,73,49,49,51,84,42,46,62,33,84,82,68,90,41,53,29,46,66,63,35,32,20,36,33,82,47,60,57,20,61,51,80
15,2018-04-22,35,92,49,44,56,54,50,46,55,77,0,67,25,46,47,40,25,29,74,53,45,47,85,41,70,43,33,66,68,44,87,61,35,59,54,62,41,30,36,34,62,33,64,50,48,58,40,59,56,63
16,2018-04-29,31,49,54,38,65,47,48,56,40,61,61,55,48,45,64,40,34,55,68,53,56,35,79,34,41,15,37,58,76,49,72,45,41,29,60,65,75,28,55,75,43,14,77,76,44,59,26,64,49,100
17,2018-05-06,58,45,60,45,58,34,50,55,74,42,25,59,41,47,61,36,28,63,55,51,68,32,91,37,76,49,38,73,44,34,75,62,32,74,62,93,60,31,35,20,61,25,23,74,39,37,28,73,49,85
18,2018-05-13,45,53,45,28,52,14,47,49,60,35,17,56,53,46,40,52,38,26,75,46,32,47,76,33,75,31,36,88,46,32,69,46,56,32,50,64,48,37,33,7,44,22,86,72,25,66,30,57,55,63
19,2018-05-20,58,66,52,37,95,55,45,40,48,43,67,66,33,51,38,34,38,42,74,48,63,35,79,34,100,23,26,85,63,53,65,65,56,31,47,65,38,24,36,33,35,27,29,74,40,63,26,57,52,86
20,2018-05-27,49,32,48,48,90,45,35,46,57,69,9,44,27,38,56,52,29,48,78,51,51,31,85,51,50,22,32,60,77,50,77,39,28,31,50,63,80,29,26,35,29,24,14,69,43,61,9,60,35,80
21,2018-06-03,51,56,56,68,62,30,50,46,34,49,26,62,38,47,56,33,42,46,79,53,64,40,76,39,44,38,35,79,59,44,69,56,43,39,75,84,84,26,56,26,38,18,29,76,36,84,28,59,43,63
22,2018-06-10,41,54,54,45,51,48,43,50,77,71,24,50,29,45,70,27,25,46,71,55,54,35,80,37,41,50,32,73,55,47,60,28,46,53,34,64,65,39,41,57,31,17,31,63,50,69,22,66,28,71
23,2018-06-17,29,40,60,25,73,32,44,44,47,75,18,58,52,48,72,28,22,31,63,51,56,22,77,35,90,36,30,66,66,29,73,35,38,38,49,36,100,34,34,52,45,20,30,72,46,73,22,59,38,69
24,2018-06-24,37,29,53,53,67,32,41,45,59,32,25,24,36,40,47,25,23,20,66,47,22,39,87,25,99,22,31,65,57,30,58,31,36,36,62,52,42,39,30,46,40,12,22,62,47,58,25,60,32,71
25,2018-07-01,67,40,53,46,55,30,46,41,56,54,67,42,37,46,54,32,27,30,55,48,38,40,83,45,50,50,25,72,68,20,65,27,44,43,52,47,57,37,22,59,26,22,23,55,33,51,30,59,36,45
26,2018-07-08,14,41,54,39,64,56,33,42,48,35,33,62,25,43,58,34,18,42,61,48,85,42,85,47,77,36,23,58,80,19,67,40,38,63,52,63,69,45,30,33,26,12,37,57,47,70,26,60,31,53
