,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2020-03-15,53,53,41,70,59,66,86,78,71,57,15,59,85,90,85,47,70,70,80,68,61,65,71,68,44,72,100,60,58,56,65,47,78,100,45,80,48,28,62,86,77,66,77,42,47,63,62,76,62,41
1,2020-03-22,37,49,64,66,98,96,62,86,79,52,44,74,83,85,84,78,75,78,81,79,100,66,85,62,80,31,72,54,81,78,63,17,88,80,65,82,91,25,97,37,64,55,40,32,81,59,47,79,65,50
2,2020-03-29,47,43,86,72,82,61,78,89,81,74,75,51,65,59,84,58,66,98,93,98,60,57,89,85,43,48,60,48,66,65,68,70,100,67,71,91,37,35,85,36,82,65,79,66,72,43,68,88,83,72
3,2020-04-05,57,59,100,70,83,41,85,94,56,91,47,64,55,50,70,53,100,86,79,100,56,62,85,80,47,46,61,56,68,72,66,61,95,59,100,66,34,30,77,100,58,70,46,82,84,68,60,91,70,100
4,2020-04-12,89,70,65,82,77,49,89,83,62,54,45,56,79,48,77,57,67,67,77,90,65,67,86,59,69,51,64,51,63,53,67,58,71,54,79,73,52,37,72,59,61,81,76,78,49,59,93,83,79,54
5,2020-04-19,74,56,77,73,62,77,98,79,79,29,30,54,86,52,60,78,72,88,80,79,50,66,89,55,34,53,54,57,75,86,84,42,81,79,68,78,31,35,73,53,76,74,75,84,35,69,57,79,79,67
6,2020-04-26,100,100,59,77,80,93,84,81,58,92,15,98,74,54,70,55,65,64,81,85,83,76,85,62,55,73,53,59,56,92,69,34,60,52,87,60,100,35,83,44,78,100,88,80,40,63,64,80,62,67
7,2020-05-03,79,99,68,54,69,36,79,90,95,71,31,53,79,47,68,57,65,52,87,80,63,61,100,52,50,54,52,61,61,85,80,54,69,48,82,93,51,45,56,64,70,59,50,88,58,37,71,92,69,83
8,2020-05-10,97,54,54,59,72,75,80,72,80,88,15,78,52,52,79,76,54,52,79,80,81,74,88,63,51,73,45,69,68,78,100,61,95,57,72,79,40,39,63,90,88,66,58,95,52,63,67,74,52,59
9,2020-05-17,65,59,55,74,79,72,85,60,74,68,15,95,30,50,99,71,60,39,77,72,54,68,93,67,29,43,44,64,74,75,76,53,65,76,44,86,52,34,67,42,98,91,100,84,64,57,72,74,87,62
10,2020-05-24,44,56,46,59,66,42,100,61,64,68,69,83,55,49,84,55,62,45,83,68,64,68,84,43,12,0,36,75,60,82,61,46,73,67,53,44,77,34,67,63,100,43,90,60,43,76,59,69,66,64
11,2020-05-31,77,66,48,63,62,50,95,64,68,67,69,82,81,51,63,87,65,56,72,69,38,74,90,40,47,54,41,70,75,79,73,84,90,57,52,83,71,27,67,38,79,33,65,51,37,55,80,64,70,68
12,2020-06-07,81,70,45,25,65,66,80,65,67,87,43,100,75,45,85,78,57,40,79,76,65,61,83,43,53,18,31,59,72,61,71,66,68,34,77,84,66,31,59,52,64,24,55,77,41,62,58,69,82,52
13,2020-06-14,75,60,44,71,73,69,84,71,55,79,43,76,70,49,71,81,50,12,76,68,55,87,86,53,56,36,32,67,55,49,73,55,55,47,47,78,64,24,68,36,59,44,47,64,34,57,38,74,70,48
14,2020-06-21,72,48,48,32,72,88,75,60,71,53,51,53,76,55,100,78,39,54,75,66,49,48,88,32,48,94,28,66,73,48,63,49,74,47,62,100,68,33,75,52,58,36,29,70,56,72,65,74,84,42
15,2020-06-28,75,56,51,44,64,85,97,67,62,69,53,64,85,50,80,63,61,72,76,71,64,86,82,49,42,43,28,80,92,38,51,37,54,52,44,85,64,30,72,58,50,42,58,55,62,41,76,71,74,54
16,2020-07-05,54,51,54,57,59,61,96,64,64,78,11,67,69,50,59,63,23,63,69,68,29,74,93,43,42,62,36,84,67,47,83,63,54,53,70,97,87,27,58,71,73,50,77,40,70,67,52,70,75,45
17,2020-07-12,81,43,47,67,67,76,95,56,47,100,46,46,66,49,73,89,37,42,64,65,60,66,88,42,60,44,33,77,65,57,65,42,67,30,62,82,41,34,48,62,57,42,53,80,56,66,74,71,82,49
18,2020-07-19,73,54,51,43,46,54,65,61,63,70,45,72,97,42,50,72,30,71,62,61,65,48,92,50,48,38,21,76,99,57,71,51,68,46,50,96,77,34,65,28,53,58,95,70,74,73,47,70,72,64
19,2020-07-26,38,57,46,62,60,65,72,58,72,36,23,72,69,53,60,44,26,54,59,57,76,72,87,51,60,44,21,68,48,33,57,27,53,34,57,79,46,33,44,63,46,37,38,100,56,49,55,73,70,62
20,2020-08-02,47,59,58,57,45,57,74,52,64,79,27,59,78,52,95,80,43,58,57,59,63,66,81,27,36,50,28,64,49,42,72,47,66,47,67,78,44,39,76,62,33,40,69,60,66,81,34,69,80,51
21,2020-08-09,51,40,56,40,72,34,74,65,57,57,27,61,48,42,87,72,32,58,54,56,47,67,95,36,47,49,30,62,52,57,80,38,67,72,54,76,84,48,62,77,50,31,49,54,56,86,48,70,62,60
22,2020-08-16,55,62,55,44,72,44,93,60,82,50,41,88,48,47,81,73,38,81,63,56,50,52,90,31,100,25,22,67,89,40,60,63,57,59,60,68,57,38,59,73,29,47,39,46,40,62,58,68,75,75
23,2020-08-23,56,45,51,66,65,57,66,62,51,40,54,90,62,46,64,54,34,46,65,59,60,54,87,54,57,58,27,75,78,47,74,38,70,81,71,57,57,35,46,52,52,31,49,65,58,74,55,65,68,55
24,2020-08-30,59,60,63,63,67,79,89,61,77,71,0,86,72,50,75,34,43,49,79,59,55,57,89,55,94,51,27,68,61,64,52,69,50,61,49,46,61,39,56,40,32,54,53,51,47,75,64,68,78,56
25,2020-09-06,57,57,52,62,87,58,78,65,67,69,41,86,50,50,70,63,47,28,86,57,37,55,79,47,35,44,41,72,55,73,87,69,64,59,63,75,66,37,59,50,53,49,55,51,46,62,88,72,100,63
26,2020-09-13,61,56,53,50,100,68,71,67,60,41,13,73,63,51,68,70,51,39,85,61,83,67,79,48,51,51,23,89,68,46,62,80,83,57,56,56,54,38,39,33,53,65,51,45,49,64,57,74,68,58
27,2020-09-20,71,34,49,73,90,75,66,66,79,63,0,92,53,51,64,96,34,52,87,61,48,51,73,45,91,18,25,74,57,52,83,58,77,27,46,78,46,42,65,44,44,64,70,68,38,80,50,72,85,52
28,2020-09-27,61,58,44,79,69,86,66,67,78,72,17,86,48,51,62,81,44,36,77,68,91,68,77,46,55,82,31,77,56,88,58,47,51,40,46,88,63,57,33,33,54,62,96,40,49,62,86,76,83,50
29,2020-10-04,75,40,46,40,54,71,67,80,70,55,18,33,67,51,86,72,38,65,83,68,32,74,73,58,37,46,27,83,90,80,72,52,81,51,71,78,49,88,63,46,43,61,53,52,50,66,65,78,67,47
30,2020-10-11,64,49,50,75,61,75,81,71,77,82,43,69,61,49,77,51,50,64,83,71,84,74,73,60,38,33,30,73,100,81,72,56,63,34,52,64,79,100,60,35,52,89,39,44,70,59,63,79,58,47
31,2020-10-18,79,55,54,53,68,100,81,82,80,73,28,94,86,47,54,50,47,44,74,84,60,66,68,58,57,33,24,73,80,74,68,34,88,55,51,90,27,90,56,51,67,74,60,57,29,82,46,81,62,50
32,2020-10-25,56,54,54,97,76,95,73,80,91,40,43,81,70,49,65,61,46,50,82,89,30,67,68,90,32,52,37,100,69,71,59,59,66,51,49,79,54,94,63,28,74,56,34,50,52,72,64,85,92,44
33,2020-11-01,63,49,52,35,69,81,79,67,68,63,23,57,92,45,51,64,45,83,80,75,45,62,81,100,25,57,35,94,76,54,71,51,79,44,59,58,82,79,83,52,63,62,82,53,58,75,73,65,49,46
34,2020-11-08,44,52,55,50,72,76,65,92,63,67,85,54,88,54,80,45,55,50,87,90,48,59,78,80,49,20,31,95,95,75,57,87,62,73,71,67,73,87,63,45,68,74,58,56,51,65,89,87,81,58
35,2020-11-15,42,50,60,82,91,78,74,100,69,45,28,59,80,54,98,61,44,56,96,87,76,51,68,84,15,32,47,88,64,54,57,74,69,31,60,68,49,70,67,46,63,68,52,48,61,47,72,93,70,53
36,2020-11-22,76,32,63,58,68,64,57,93,74,81,29,50,96,53,74,59,50,61,85,91,47,57,67,97,57,45,49,100,68,64,53,64,72,51,70,57,77,79,56,66,65,67,50,61,58,57,59,96,56,53
37,2020-11-29,66,38,62,97,95,96,61,99,72,41,100,56,50,54,88,100,50,56,85,87,49,65,67,96,51,34,40,87,70,82,94,72,80,48,60,80,76,74,76,61,65,64,51,37,100,67,80,100,62,55
38,2020-12-06,69,60,59,64,85,50,88,90,64,40,0,41,60,51,99,73,46,44,81,84,68,44,76,65,67,100,43,71,58,100,77,61,80,59,59,51,47,78,69,50,70,56,48,66,65,89,91,99,56,49
39,2020-12-13,50,50,63,69,73,43,62,91,46,53,58,20,83,100,73,99,39,62,70,74,59,65,79,45,52,59,37,87,75,62,86,59,95,54,57,51,46,54,52,51,57,83,81,61,62,68,100,93,66,55
40,2020-12-20,57,19,47,63,61,69,83,71,60,46,62,26,64,44,75,34,46,69,58,53,52,59,84,37,24,40,55,66,59,30,83,53,67,62,44,65,23,33,51,59,46,53,50,67,70,78,68,79,71,61
41,2020-12-27,28,36,44,56,75,54,31,74,51,50,52,31,100,49,91,48,36,74,71,65,47,55,69,49,38,34,50,47,67,33,54,32,68,66,46,48,41,38,66,30,52,20,36,46,83,68,76,74,41,45
42,2021-01-03,44,24,51,58,80,43,62,69,68,55,15,37,84,49,83,46,51,76,92,65,37,64,73,48,43,66,35,74,59,50,49,59,69,66,50,54,27,52,68,28,67,34,41,44,66,78,74,70,66,42
43,2021-01-10,57,53,43,78,76,53,71,77,67,46,28,36,82,55,72,71,40,100,97,73,61,62,63,61,29,57,36,85,39,60,58,59,82,49,38,74,32,66,84,58,61,74,25,58,61,100,72,71,54,47
44,2021-01-17,64,35,46,78,89,68,52,78,100,38,57,38,81,63,79,62,49,75,97,69,33,48,67,50,44,52,33,81,61,57,74,94,86,51,58,82,38,60,79,66,51,67,59,68,71,76,80,73,65,52
45,2021-01-24,62,45,47,100,65,78,82,74,63,42,73,48,82,56,58,39,47,69,100,71,70,100,71,45,49,58,33,84,70,67,78,100,83,94,48,74,27,81,65,21,69,82,60,73,86,82,45,76,58,47
46,2021-01-31,66,46,46,85,85,37,73,81,66,61,31,44,83,56,84,81,55,75,97,75,67,58,62,71,52,51,44,78,65,52,70,88,72,66,43,79,36,67,100,21,60,68,77,86,73,75,85,78,55,51
