,date,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
0,2018-01-07,49,35,67,59,70,27,84,74,57,62,52,32,54,82,55,25,38,65,69,81,63,34,18,50,88,95,64,66,55,42,63,77,88,53,23,18,48,62,83,65,72,75,49,69,56,79,65,69,56,70
1,2018-01-14,52,42,69,59,71,39,91,82,60,59,79,31,62,85,73,24,37,61,67,85,73,37,18,60,83,92,67,71,63,44,67,100,73,51,22,16,37,59,81,72,85,75,50,70,59,79,62,67,78,77
2,2018-01-21,47,40,76,67,86,37,88,79,68,64,78,37,65,83,100,23,37,68,67,84,76,35,18,60,77,95,69,65,72,40,62,99,81,51,23,19,49,60,80,66,93,78,53,76,60,90,65,74,100,70
3,2018-01-28,57,36,89,50,86,40,76,78,61,63,31,37,59,80,67,24,35,73,62,88,60,36,20,70,80,92,68,66,57,43,66,92,79,42,23,19,44,74,83,67,85,77,55,67,62,80,70,70,60,70
4,2018-02-04,48,35,89,49,72,34,71,92,53,52,47,45,64,80,50,26,34,59,62,87,68,38,20,58,85,96,63,68,53,43,68,73,81,49,28,14,62,84,88,58,83,81,62,58,57,79,69,78,57,82
5,2018-02-11,44,41,94,100,82,39,77,100,88,59,86,43,86,87,69,25,36,93,67,90,43,35,19,55,84,95,66,86,66,48,71,83,96,85,32,15,57,71,92,65,96,93,60,72,94,71,70,78,59,76
6,2018-02-18,56,39,93,85,77,41,72,87,80,56,91,36,100,88,61,26,38,85,64,84,60,35,20,63,88,85,68,88,73,49,79,72,94,93,25,29,57,83,89,68,91,90,60,67,100,78,73,78,54,91
7,2018-02-25,62,49,89,54,70,26,65,76,54,59,55,38,60,74,46,27,32,62,61,74,64,37,15,45,84,91,59,69,60,45,79,71,80,44,29,30,49,73,78,67,80,83,53,68,63,71,71,73,53,87
8,2018-03-04,63,41,88,56,79,44,68,78,61,58,22,34,60,83,55,29,35,69,66,84,80,38,23,58,82,96,66,69,64,47,79,86,80,50,31,28,61,83,92,58,87,78,59,70,60,74,73,70,60,82
9,2018-03-11,53,45,88,60,77,43,67,79,63,59,68,33,66,84,65,29,33,61,63,83,70,39,22,56,78,84,65,69,54,47,65,70,79,56,26,24,56,72,100,70,88,81,64,73,62,71,81,70,58,87
