,ARE,ARG,AUS,AUT,BEL,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,HKG,IDN,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VNM,ZAF
ARE,1.0,0.08566296111655104,0.01804142892501378,-0.15820053241167087,-0.06495010483180534,0.1162305019183895,0.07966443764605842,0.029336031615001576,0.09154493276716676,0.010138497250093971,0.0070400659861828765,0.15370003461516893,-0.21836832306044976,0.04718555299623608,0.02816470910369221,0.17879272165217322,0.052375783119810684,-0.002433794640159365,0.10179119682517918,0.17952905498818456,-0.019260471540629917,0.13264791023375647,0.133127550430531,-0.014273516703777401,-0.014401945882833863,0.1956489601614905,0.12111773344153236,-0.06772229681930544,0.07619709930998837,-0.09680286177546664,-0.07089627943817983,-0.18862449176453394,0.026826699276496765,0.07925162356921904,0.08883800617668844,-0.011617027323455256,0.09653667994457688,-0.038111361249644246,0.06450533965646202,-0.12881543332955492,-0.07391052919000715,0.08271464190444816,0.027443729332079902,0.11621436148542753,-0.04542320676126905,-0.06792262650050533,-0.10702642868482669,0.13547938915438715,-0.02694923117016017,0.1370591934370306
ARG,0.08566296111655104,1.0,0.12817665519343052,0.10691623586338006,-0.022610951158609484,-0.07037639363579783,0.1255428648123109,0.014446555070383454,0.2583255656185753,0.0656005782573247,-0.13018271487263333,0.10680176282121497,-0.007896865552450127,0.2871014565787182,-0.010622269727226222,-0.017316896157716127,-0.05830496302545679,-0.04487361457927958,0.03353713436154802,0.12926682952333185,0.028313068200593355,0.04136896778409317,-0.026985496450275752,0.10823403022340707,0.12470014463379378,0.05259116234939781,-0.16537663277466977,-0.018839679089817832,-0.03436612567800284,-0.11478689036650383,0.22512113157309202,-0.25641332281969537,0.003454666999198552,0.04396288524282776,0.11196952146399912,0.07802328846324355,0.052727344980390806,0.12054315928902223,0.13970651023596947,-0.05986947231860971,-0.05471085579865543,0.07932741402394627,0.1834484639146588,0.1302706695681049,0.26849233285960783,0.04304718299645141,-0.27415666811045664,0.06115306892150557,-0.073206716407476,-0.11556550308010236
AUS,0.01804142892501378,0.12817665519343052,1.0,-0.0010566641542337208,0.008915628142525327,0.04739562646738468,0.31566140665699416,0.0068532096582075005,0.02945161664729148,0.11337555039092095,-0.1432846587821327,0.06367233180592737,-0.05387900987699051,0.024049332801691567,0.2276698375006032,0.017470718986157013,0.11528757624959743,0.03749557769955567,0.04301938873582459,0.11623216316751084,-0.0018790095507653915,0.03828178375378578,0.11660278259406165,0.12403393499200843,0.05117155853776187,-0.05267603848693353,0.09975284090188423,0.1371696119408836,-0.06930531406779292,0.11897110424363229,0.02774649232657949,0.0583720173494691,0.07727706051922162,0.062332677928185254,0.042420930749371144,-0.13748517454544115,0.021470000094036157,0.2013975678791414,-0.1262911211814997,-0.03910834772485179,-0.09407985291385312,-0.050892640166029804,0.0947680255969147,0.23491002622417398,-0.033080109393055834,0.12121339477029472,0.08020553243385378,0.06720165285350166,0.038271279692122795,-0.11457964561789323
AUT,-0.15820053241167087,0.10691623586338006,-0.0010566641542337208,1.0,-0.0037428494233869214,-0.008716145502573852,0.07834001716272908,-0.018814617820194054,0.22510671556842599,-0.08605647738798626,-0.10729439646243252,0.14685051510099772,0.016304179649144844,0.21149644537645337,-0.13910618185246937,-0.20176745517851546,0.021421153178047398,0.07439503915265103,0.2722321525499981,-0.15276892231820124,0.07199328298324323,-0.06679552977332166,-0.12180218676229766,0.13659198010707677,0.14878246009865997,-0.3327886398296413,0.051554607199676764,0.14471337536940415,-0.0021120964988240436,0.06794147920247567,0.06650588512471282,0.15970887106799103,-0.045215804512094455,-0.11907733302587012,-0.03457233158980778,-0.12448965369938618,0.20866160062605987,0.01594496624026445,-0.10768798503257601,-0.13398268220982484,-0.02569055353063349,0.043424166355794304,0.07292367994462952,-0.07000979831421224,0.10892459945606137,-0.14239991460618262,-0.025416049351351288,0.054935819684186545,-0.021163024177993886,-0.04764111351800023
BEL,-0.06495010483180534,-0.022610951158609484,0.008915628142525327,-0.0037428494233869214,1.0,-0.029648858266413503,-0.048189984124965175,0.25526609861272026,0.10513305980906384,-0.16587583712810958,0.15901760204309734,0.16493671787028052,0.19076459614277652,0.11258800088518114,0.014422325471644397,0.053232590730593034,0.25584017994005004,-0.0949985806050343,0.34775251637747806,0.2150074431580887,-0.05307487567010245,-0.15878211333056547,0.046014508935340565,0.015444414695273804,-0.12089998807956569,-0.017295574411428434,0.28422158882129184,0.3129577457094035,0.06893881200154606,0.3608589651180669,0.10083479665603579,0.06746419897349934,0.04568277103323025,0.04390189226628126,-0.11062499184965942,-0.07684026419359649,-0.02773261834169228,-0.042930989604308925,-0.053803976376554215,-0.28217855306499,-0.01527013445566334,0.1771515402296009,0.18605643672376737,-0.0023396192409542486,0.02810207744775832,0.00254154717113176,0.07843960322925396,0.2951857471221357,-0.11542607818410293,-0.11040655484990892
BGD,0.1162305019183895,-0.07037639363579783,0.04739562646738468,-0.008716145502573852,-0.029648858266413503,1.0,-0.01952982126454597,0.04000028407579167,0.0998182317619011,-0.03436380131515164,0.009254674574677543,-0.13798906239050476,-0.01808939277878866,0.04700499678673105,-0.030099419108149107,-0.09102544305995137,-0.02875472252468063,-0.12205375321947036,0.16899497760132404,0.08701463411624993,-0.2002267380587091,0.026998057233265954,0.4125253808211095,0.16510745570034419,-0.16478621836669394,0.008099731574618449,0.0747842200430976,0.1496953823536214,0.04754904606839605,0.042904471194683824,-0.009998215729495477,0.25430626470871787,-0.15867113815018338,0.021834205831935842,0.12322605079922952,0.0685051569487142,0.14319747303859973,0.23043416898914043,-0.07077154831250575,-0.03161076465471423,-0.1673163813287784,0.100894380331093,0.07541881496295096,0.19635867658699208,0.11281845783454829,0.05843784106559958,-0.07418488800631393,0.212263580972731,-0.1730399689588533,0.1687593645115968
BRA,0.07966443764605842,0.1255428648123109,0.31566140665699416,0.07834001716272908,-0.048189984124965175,-0.01952982126454597,1.0,-0.11613500851952364,0.0745864370005119,-0.048664081769420046,-0.13393430220655586,0.12714756657745996,0.04040981096244261,-0.07724815136007832,0.08428682138895773,-0.023311401432501603,0.005990262604518451,-0.018830230438401385,-0.04862047770225752,-0.04504406981916004,0.04963721967667481,-0.1819196388142918,0.006228684122614923,0.046475554597879436,-0.08346789171588506,0.14266212162906666,-0.2076549605025486,0.060291187423305734,-0.1010380841789747,0.17501400702079029,-0.009925258130276227,0.09852160360171988,-0.06206202501655151,0.08371468094053079,0.174627440463783,-0.11390174043313801,0.01889273718977601,0.02587940518739877,0.17999918934099987,-0.019407897865650676,0.06052932712197561,-0.04424382096672978,-0.06201710457564479,0.13493929828215953,0.08246197727198837,0.05263945988040659,0.1396330434475815,0.0805329884982361,0.0846168793786358,0.05062002900449284
CAN,0.029336031615001576,0.014446555070383454,0.0068532096582075005,-0.018814617820194054,0.25526609861272026,0.04000028407579167,-0.11613500851952364,1.0,0.07011311605245245,-0.15897621964681163,-0.14054450707717606,0.08131991831233472,0.0923701512088297,0.10674820431883748,-0.15484488332633958,-0.03681599441393906,0.24554205820120767,-0.04152749736228887,0.2723797774722873,0.3057087807804459,0.0805356231096099,0.20830754051527406,0.03241639087527087,-0.09946550525336514,0.06789745144234191,0.03770589851550711,0.2841768343241592,0.20400732348996917,0.0280994693276883,0.03289667187068334,0.10786776553134875,0.005420457643595764,0.11815742708284208,0.03625631558220516,0.010980008225849871,-0.14365823864746707,0.20686689341336753,0.2145461207570099,-0.07772935366349736,-0.17130550567272435,0.07153844223566012,0.10100598262612744,0.4191061617260867,0.09517831826633055,0.13619260435797198,-0.07155615722795851,0.255461756335587,0.4506760950453754,-0.1188163336991606,0.07119651314564249
CHE,0.09154493276716676,0.2583255656185753,0.02945161664729148,0.22510671556842599,0.10513305980906384,0.0998182317619011,0.0745864370005119,0.07011311605245245,1.0,0.005413917596580919,-0.1459123581716431,0.07727428332929431,-0.058981961872818886,0.4217580327023522,-0.07903105416339919,-0.15162354083631274,0.4074710480179029,0.030988834097878722,0.2639261987177707,0.27640381963950855,0.09389649959638106,0.05710673367997089,0.01685265717311343,0.05634662244737531,0.04200908695291019,-0.16247716599724818,0.21173170085920598,0.14729627377222368,-0.028472410136593008,0.12989658788396843,0.043182082080589844,0.04164930907504901,0.19379656815834173,-0.05963713566653867,0.06509689642050832,-0.11485886194117688,0.356619476811775,0.014890130299758593,-0.11253485382754948,0.009890864240506059,0.07475316957292277,0.07343884345210083,0.17423112277190808,0.011378149290095336,0.12034319432666561,-0.1625521640196519,0.07280545925186946,0.1724314712498758,0.07703312824030006,0.05335235936720958
CHL,0.010138497250093971,0.0656005782573247,0.11337555039092095,-0.08605647738798626,-0.16587583712810958,-0.03436380131515164,-0.048664081769420046,-0.15897621964681163,0.005413917596580919,1.0,0.16137102117418828,0.19478022456435085,-0.07503457720470182,0.01927522478785665,0.10691934799155763,0.03302246311706504,-0.015729588584799573,0.06665514346729207,0.08893297749296034,0.004724353116048402,-0.03183634314764887,0.11659612252062175,0.06925869980250567,0.16459926920221402,0.04059970081634306,0.0010040818779389964,0.10692844995322984,-0.07124738411889273,0.18601917044534758,0.2027377672160519,0.11435016608968297,-0.016291100375469228,0.030902063719220264,0.11200002937975093,-0.028572446404897364,0.0007645745419734526,-0.06352339657913797,-0.057629999064833445,0.08637995381371416,-0.0035258191533122036,-0.2528568878996508,-0.194662122168683,-0.06506281973925407,0.16287801259302342,-0.11446217992462174,0.02151470529666238,-0.10815112060568371,0.02643081483380789,0.022738957279477647,-0.12768230610775758
